INDV1,INDV2,RELATEDNESS_PHI,No_plaque_envoi,No_puits_envoi,Numero_unique_specimen,Sexe_laboratoire,Region_echantillonnage,Lieu_echantillonnage,Latitude_echantillonnage_DD,Longitude_echantillonnage_DD,Annee_echantillonnage,Mois_echantillonnage,Jour_echantillonnage
S_20_01124,S_20_01631,0.494351,PE_20_00005,C10,S_20_01124,F,SEH,Nastapoka_River,56.91,-76.5441666666667,1998,8,9
S_20_01631,S_20_01124,0.494351,PE_20_00006,D03,S_20_01631,F,SEH,Nastapoka_River,56.91,-76.5441666666667,1998,8,9
S_20_03575,S_20_03626,0.493768,PE_20_00008,E02,S_20_03575,M,NHS,Lake_Harbour_Kimmirut,NA,NA,1992,10,11
S_20_03626,S_20_03575,0.493768,PE_20_00005,F03,S_20_03626,M,NHS,Lake_Harbour_Kimmirut,62.845712,-69.864133,1992,10,11
S_20_03118,S_20_03119,0.492584,PE_20_00004,G05,S_20_03118,M,UNG,Kuujjuaq,58.55527,-68.19138,1997,7,26
S_20_03119,S_20_03118,0.492584,PE_20_00008,A12,S_20_03119,M,UNG,Kuujjuaq,58.55527,-68.19138,1997,7,26
S_20_01706,S_20_02444,0.49137,PE_20_00004,D04,S_20_01706,F,SEH,Lac_Tasiujaq,56.11,-76.3,2009,7,7
S_20_02444,S_20_01706,0.49137,PE_20_00005,C01,S_20_02444,F,SEH,Lac_Tasiujaq,56.11,-76.3,2009,7,7
S_20_01005,S_20_02108,0.491129,PE_20_00003,D09,S_20_01005,M,SHS,Baie_Kangituuq,62.3791666666667,-77.9402777777778,2003,6,8
S_20_02108,S_20_01005,0.491129,PE_20_00003,D10,S_20_02108,F,UNG,Tasiujaq,NA,NA,2018,7,13
S_20_02356,S_20_03635,0.490801,PE_20_00003,A10,S_20_02356,F,UNG,Aupaluk,NA,NA,2018,7,17
S_20_03635,S_20_02356,0.490801,PE_20_00003,A09,S_20_03635,F,NHS,Kimmirut,NA,NA,1989,7,10
S_20_00616,S_20_00796,0.488118,PE_20_00001,H06,S_20_00616,F,NWH,Arviat,NA,NA,2003,8,14
S_20_00796,S_20_00616,0.488118,PE_20_00002,G02,S_20_00796,F,NWH,Arviat,NA,NA,2003,8,14
S_20_03522,S_20_03524,0.486048,PE_20_00001,C06,S_20_03522,M,CSB,Pangnirtung_West_Cumberland_Sound,65.24083333,-66.65805556,2002,7,NA
S_20_03524,S_20_03522,0.486048,PE_20_00001,H08,S_20_03524,M,CSB,Pangnirtung_West_Cumberland_Sound,65.24083333,-66.65805556,2002,7,NA
S_20_00761,S_20_00762,0.482008,PE_20_00002,F02,S_20_00761,M,SAN,Sanikiluaq,NA,NA,2005,12,NA
S_20_00762,S_20_00761,0.482008,PE_20_00001,G12,S_20_00762,M,SAN,Sanikiluaq,NA,NA,2005,12,NA
S_20_01940,S_20_03029,0.479555,PE_20_00003,C10,S_20_01940,M,UNG,Aupaluk,59.4583333333333,-69.8055555555556,1999,7,21
S_20_03029,S_20_01940,0.479555,PE_20_00003,C09,S_20_03029,M,SEH,Kuujjuarapik,55.292,-77.832,2001,7,7
S_20_00651,S_20_01075,0.477914,PE_20_00003,H10,S_20_00651,M,UNG,Anse_Inussujuaq,59.99757,-70.43106,2001,7,19
S_20_01075,S_20_00651,0.477914,PE_20_00003,H09,S_20_01075,F,NWH,Chesterfield_Inlet,NA,NA,1999,9,22
S_20_01050,S_20_02382,0.476966,PE_20_00003,F09,S_20_01050,U,NHB,Coral_Harbour,64.108744,-83.117867,1999,8,16
S_20_02382,S_20_01050,0.476966,PE_20_00003,F10,S_20_02382,M,UNG,Cap_Qalirusiq,58.952,-69.694,2018,7,13
S_20_02381,S_20_02383,0.475617,PE_20_00005,D02,S_20_02381,M,UNG,Tasiujaq,NA,NA,2018,7,10
S_20_02383,S_20_02381,0.475617,PE_20_00006,B11,S_20_02383,M,UNG,Tasiujaq,58.952,-69.694,2018,7,10
S_20_00942,S_20_03000,0.473418,PE_20_00003,B09,S_20_00942,F,NHB,Coral_Harbour,64.108744,-83.117867,1996,9,22
S_20_03000,S_20_00942,0.473418,PE_20_00003,B10,S_20_03000,F,SEH,Nastapoka_River,56.91,-76.5441666666667,1998,8,9
S_20_01894,S_20_03624,0.470675,PE_20_00003,E09,S_20_01894,F,SEH,Kuujjuarapik,55.28055,-77.7533,1994,7,25
S_20_03624,S_20_01894,0.470675,PE_20_00003,E10,S_20_03624,F,FRB,Iqaluit,NA,NA,1992,6,11
S_20_03092,S_20_03094,0.462191,PE_20_00004,E09,S_20_03092,F,UNG,Baie_Qirnituup,60.0694,-69.6744,1997,7,12
S_20_03094,S_20_03092,0.462191,PE_20_00007,B07,S_20_03094,F,UNG,Baie_Qirnituup,60.0694,-69.6744,1997,7,12
S_20_02912,S_20_02913,0.454182,PE_20_00004,E11,S_20_02912,M,UNG,Island_Qulluvik,60.159,-69.451,2018,6,24
S_20_02913,S_20_02912,0.454182,PE_20_00008,D11,S_20_02913,M,UNG,Island_Qulluvik,60.159,-69.451,2018,6,24
S_20_01102,S_20_01112,0.451843,PE_20_00004,H08,S_20_01102,F,SHS,Digges_Islands,62.59663,-77.82172,2001,10,22
S_20_01112,S_20_01102,0.451843,PE_20_00008,G10,S_20_01112,M,SHS,Quaqtaq,60.98915,-69.6952,2001,10,24
S_20_01793,S_20_03099,0.442371,PE_20_00003,G10,S_20_01793,M,SEH,Nastapoka_River,56.91,-76.5441666666667,1994,8,16
S_20_03099,S_20_01793,0.442371,PE_20_00003,G09,S_20_03099,F,SEH,Lac_Tasiujaq,56.19,-76.01,1997,6,21
S_20_02714,S_20_02716,0.43603,PE_20_00009,A01,S_20_02714,M,UNG,Kangiqsualujjuaq,58.685,-65.954,2007,7,23
S_20_02716,S_20_02714,0.43603,PE_20_00007,G06,S_20_02716,M,UNG,Kangiqsualujjuaq,58.685,-65.954,2007,7,23
S_20_03616,S_20_03634,0.391484,PE_20_00006,A03,S_20_03616,M,NHS,Lake_Harbour_Kimmirut,NA,NA,1992,10,11
