Numero_unique_specimen,BioSample Acession,Type_analyse,Annee_envoi,No_soumission_GQ,No_plaque_envoi,Nom_projet,Numero_unique_groupe,Numero_reception_specimen,Nom_commun,Genre,Espece,Couleur_individu,Age,Sexe_visuel,Region_echantillonnage,Lieu_echantillonnage,Latitude_echantillonnage_DD,Longitude_echantillonnage_DD,Annee_echantillonnage,Mois_echantillonnage,Jour_echantillonnage,Communaute,Nom_chasseur,Sexe_laboratoire,Technique_sexage,Responsable_sexage,Numero_unique_extrait,Haplotype,Librairie_ref
S_20_03506,SAMN36656871,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_03506,ARNR_04_05,BELUGA,Delphinapterus,leucas,NA,NA,NA,SWH,Nelson_River,57.06494,-92.19655,2004,7,27,Churchill,NA,M,qPCR,S_Guillou,ADN_20_00965,HL003,librairie_143_haplotypes615
S_20_00804,SAMN36656269,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00804,ARAR_03_1055,BELUGA,Delphinapterus,leucas,NA,4,M,NWH,Arviat,NA,NA,2003,8,14,Arviat,NA,M,qPCR,S_Guillou,ADN_20_00967,HL004,librairie_143_haplotypes615
S_20_00604,SAMN36656124,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00604,ARAR_03_1046,BELUGA,Delphinapterus,leucas,NA,9,M,NWH,Arviat,NA,NA,2003,8,NA,Arviat,NA,M,PCR,C_Bonnet,ADN_20_00968,HL003,librairie_143_haplotypes615
S_20_00622,SAMN36656139,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00622,JBDL_07_01,BELUGA,Delphinapterus,leucas,NA,NA,F,JAM,Pointe_de_Repentigny,52.64,-78.856,2007,8,9,DFO_MPO,NA,F,qPCR,S_Guillou,ADN_20_00971,HL008,librairie_143_haplotypes615
S_20_00712,SAMN36656197,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00712,JBDL_07_04,BELUGA,Delphinapterus,leucas,NA,NA,F,JAM,Pointe_de_Repentigny,52.64,-78.856,2007,8,14,DFO_MPO,NA,F,qPCR,C_Bonnet,ADN_20_00974,HL008,librairie_143_haplotypes615
S_20_00699,SAMN36656192,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00699,JBDL_07_06,BELUGA,Delphinapterus,leucas,NA,NA,F,JAM,Pointe_de_Repentigny,52.64,-78.856,2007,8,25,DFO_MPO,NA,M,qPCR,S_Guillou,ADN_20_00975,HL008,librairie_143_haplotypes615
S_20_03452,SAMN36656857,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_03452,DL2008_JB_03,BELUGA,Delphinapterus,leucas,NA,NA,F,JAM,Pointe_de_Repentigny_James_Bay,52.64,-78.856,2008,8,8,DFO_MPO,NA,M,qPCR,S_Guillou,ADN_20_00978,HL008,librairie_143_haplotypes615
S_20_00697,SAMN36656191,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00697,ARPG_07_1314,BELUGA,Delphinapterus,leucas,NA,26,F,CSB,Pangnirtung,NA,NA,2007,7,4,Pangnirtung,Billy_Qaqasiq,F,qPCR,C_Bonnet,ADN_20_00985,HL028,librairie_143_haplotypes615
S_20_00781,SAMN36656250,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_00781,ARPG_07_1317,BELUGA,Delphinapterus,leucas,NA,13,F,CSB,Pangnirtung,NA,NA,2007,7,4,Pangnirtung,Joetie_Papatsie,F,qPCR,C_Bonnet,ADN_20_00986,HL003,librairie_143_haplotypes615
S_20_01218,NA,ddRADseq,2019,SCI029054,PE_20_00001,MOBELS,G_20_01218,ARPG_07_1323,BELUGA,Delphinapterus,leucas,NA,16,F,CSB,Pangnirtung_Kangilo_Fjord,NA,NA,2007,NA,NA,Pangnirtung,NA,F,qPCR,S_Guillou,ADN_20_00987,NA,librairie_143_haplotypes615
