"ID","Marker","BioSample.Accession","Mitogenome.accession","Mitochondrial.clade","Sex.qPCR","Age","Region","Location","Lat","Lon","Year","Month","Day","Membership.rad.all","Membership.wgs.all","Q1.rad.all","Q2.rad.all","Q3.rad.all","Q4.rad.all","Q5.rad.all","Q1.wgs.all","Q2.wgs.all","Q3.wgs.all","Q4.wgs.all","Q5.wgs.all","Q6.wgs.all","Q1.rad.hbsc","Q2.rad.hbsc","Q3.rad.hbsc","Q1.wgs.hbsc","Q2.wgs.hbsc","Q1.rad.jam","Q2.rad.jam","Q1.wgs.jam","Q2.wgs.jam","O.Hom.rad","E.Hom.rad","F.rad","O.Hom.wgs","E.Hom.wgs","F.wgs"
"S_20_01762","ddRADseq","SAMN36656611",NA,NA,"F",33,"SLE","Sainte_Flavie",48.6212,-68.2115,2019,7,4,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19323,17599.9,0.30879,NA,NA,NA
"S_20_01763","Both","SAMN36656612","OQ554158","Clade A","M",10,"SLE","Cap_aux_Oies",47.498137,-70.236441,2018,6,2,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.999946,0.00001,0.000014,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,21129,19466.1,0.25882,658560,622306.2,0.19703
"S_20_01764","Both","SAMN36656613","OQ554159","Clade A","F",47,"SLE","Ile_Verte",48.130667,-69.530167,2018,5,20,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,20471,18853.2,0.26323,659944,643818.1,0.08494
"S_20_01766","Both","SAMN36656615","OQ554161","Clade A","F",45,"SLE","Saint_Ulric",48.858613,-67.531705,2017,10,23,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.999948,0.00001,0.000012,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,20992,19538.4,0.22517,662844,640066,0.12054
"S_20_01767","ddRADseq","SAMN36656616",NA,NA,"M",7,"SLE","Saint_Ulric",48.794966,-67.6897,2017,11,28,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20996,19380.8,0.25284,NA,NA,NA
"S_20_01769","ddRADseq","SAMN36656617",NA,NA,"M",1,"SLE","Tadoussac",48.1414,-69.7091,2009,7,29,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21166,19496.3,0.25932,NA,NA,NA
"S_20_01771","ddRADseq","SAMN36656618",NA,NA,"M",NA,"SLE","Ile_Verte",48.0235,-69.4516,2009,10,17,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20948,19334.4,0.25345,NA,NA,NA
"S_20_01773","lcWGS","SAMN36656619","OQ554162","Clade C","F",0,"SLE","Rimouski_est",48.78527778,-68.54277778,2011,5,19,NA,"SLE",NA,NA,NA,NA,NA,0.324366,0.566197,0.00001,0.042734,0.066683,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640876,626559.9,0.07726
"S_20_01774","ddRADseq","SAMN36656620",NA,NA,"F",48,"SLE","Pointe_au_Pere",48.5189,-68.464644,2009,9,15,"SLE",NA,0.906377,0.031231,0.00001,0.00001,0.062372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20598,19547.8,0.16262,NA,NA,NA
"S_20_01775","ddRADseq","SAMN36656621",NA,NA,"M",26,"SLE","Riviere_Ouelle",47.4422,-70.0402,2009,7,1,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20974,19430.9,0.2407,NA,NA,NA
