"Numero_unique_specimen","Type_analyse","Annee_envoi","No_soumission_GQ","No_plaque_envoi","No_puits_envoi","Nom_projet","Numero_unique_groupe","Numero_reception_specimen","Nom_commun","Genre","Espece","Couleur_individu","Age","Sexe_visuel","Region_echantillonnage","Lieu_echantillonnage","Latitude_echantillonnage_DD","Longitude_echantillonnage_DD","Annee_echantillonnage","Mois_echantillonnage","Jour_echantillonnage","Communaute","Nom_chasseur","Sexe_laboratoire","Technique_sexage","Responsable_sexage","Numero_unique_extrait","Haplotype","Librairie_ref"
"S_20_00782","WGS",2021,"SCI034751","PE_21_00073","F06","MOBELS","G_20_00782","ARPG_05_1230","BELUGA","Delphinapterus","leucas",NA,NA,"M","CSB","Pangnirtung","66.1466","-65.7012",2005,NA,NA,"Pangnirtung",NA,"M","qPCR","S_Guillou","ADN_20_00969","HL003","librairie_143_haplotypes615"
"S_20_00699","WGS",2021,"SCI034751","PE_21_00073","G10","MOBELS","G_20_00699","JBDL_07_06","BELUGA","Delphinapterus","leucas",NA,NA,"F","JAM","Pointe_de_Repentigny","52.64","-78.856",2007,"8",25,"DFO_MPO",NA,"M","qPCR","S_Guillou","ADN_20_00975","HL008","librairie_143_haplotypes615"
"S_20_00698","WGS",2021,"SCI034751","PE_21_00073","A09","MOBELS","G_20_00698","ARJB_10_1002","BELUGA","Delphinapterus","leucas",NA,NA,NA,"JAM","James_Bay",NA,NA,2010,"8",12,NA,NA,"U","qPCR","S_Guillou","ADN_20_00984","HL003","librairie_143_haplotypes615"
"S_20_00795","WGS",2021,"SCI034751","PE_21_00073","G09","MOBELS","G_20_00795","ARAR_03_1069","BELUGA","Delphinapterus","leucas",NA,24,"F","NWH","Arviat",NA,NA,2003,"8",17,"Arviat",NA,"F","qPCR","S_Guillou","ADN_20_01016","HL045","librairie_143_haplotypes615"
"S_20_00811","WGS",2021,"SCI034751","PE_21_00073","D03","MOBELS","G_20_00811","ARCH_02_01","BELUGA","Delphinapterus","leucas",NA,NA,NA,"NWH","Churchill",NA,NA,2002,NA,NA,"Churchill",NA,"F","qPCR","S_Guillou","ADN_20_01059","HL026","librairie_143_haplotypes615"
"S_20_00751","WGS",2021,"SCI034751","PE_21_00073","B02","MOBELS","G_20_00751","ARSQ_03_1024","BELUGA","Delphinapterus","leucas",NA,23,NA,"SAN","Sanikiluaq",NA,NA,2003,NA,NA,"Sanikiluaq",NA,"M","qPCR","S_Guillou","ADN_20_01088","HL001","librairie_143_haplotypes615"
"S_20_00767","WGS",2021,"SCI034751","PE_21_00073","E02","MOBELS","G_20_00767","ARSQ_04_1071","BELUGA","Delphinapterus","leucas",NA,35,"F","SAN","Sanikiluaq",NA,NA,2004,"6",18,"Sanikiluaq",NA,"F","qPCR","S_Guillou","ADN_20_01094","HL022","librairie_143_haplotypes615"
"S_20_00702","WGS",2021,"SCI034751","PE_21_00073","G06","MOBELS","G_20_00702","ARPG_02_1034","BELUGA","Delphinapterus","leucas",NA,30,"M","CSB","Pangnirtung",NA,NA,2002,"7",22,"Pangnirtung",NA,"M","qPCR","C_Bonnet","ADN_20_01138","HL030","librairie_143_haplotypes615"
"S_20_00691","WGS",2021,"SCI034751","PE_21_00073","G07","MOBELS","G_20_00691","ARPG_02_1036","BELUGA","Delphinapterus","leucas",NA,19,"F","CSB","Pangnirtung_Imilit",NA,NA,2002,"7",22,"Pangnirtung","Adamee_Veevee","F","qPCR","C_Bonnet","ADN_20_01139","HL003","librairie_143_haplotypes615"
"S_20_00662","WGS",2021,"SCI034751","PE_21_00073","G05","MOBELS","G_20_00662","ARPG_02_1072","BELUGA","Delphinapterus","leucas",NA,NA,"F","CSB","Pangnirtung",NA,NA,2002,"7",25,"Pangnirtung",NA,"F","qPCR","S_Guillou","ADN_20_01145","HL021","librairie_143_haplotypes615"
"S_20_01078","WGS",2021,"SCI034751","PE_21_00073","A07","MOBELS","G_20_01078","ARCI_99_1015","BELUGA","Delphinapterus","leucas",NA,4,"M","NWH","Chesterfield_Inlet_Fish Bay",NA,NA,1999,"9",15,"Chesterfield Inlet",NA,"F","qPCR","S_Guillou","ADN_20_01304","HL003","librairie_143_haplotypes615"
"S_20_00682","WGS",2021,"SCI034751","PE_21_00073","E03","MOBELS","G_20_00682","ARAR_99_1033","BELUGA","Delphinapterus","leucas",NA,4,"F","NWH","Arviat",NA,NA,1999,"8",11,"Arviat",NA,"M","qPCR","S_Guillou","ADN_20_01483","HL003","librairie_143_haplotypes615"
"S_20_00678","WGS",2021,"SCI034751","PE_21_00073","A06","MOBELS","G_20_00678","PTT_7278","BELUGA","Delphinapterus","leucas",NA,NA,NA,"NWH","Churchill","58.743","-94.386",1992,"7",4,"Churchill",NA,"M","qPCR","S_Guillou","ADN_20_01413","HL026","librairie_143_haplotypes615"
"S_20_01019","WGS",2021,"SCI034751","PE_21_00073","H06","MOBELS","G_20_01019","NQ03_5206","BELUGA","Delphinapterus","leucas",NA,NA,NA,"NEH","Puvirnituq","60.0288888888889","-77.4430555555556",2003,"9",18,"Puvirnituq",NA,"M","qPCR","S_Guillou","ADN_20_01427","HL001","librairie_143_haplotypes615"
"S_20_01784","WGS",2021,"SCI034751","PE_21_00073","E10","MOBELS","G_20_01784","IN94_06","BELUGA","Delphinapterus","leucas",NA,11,"M","SEH","Nastapoka_River","56.91","-76.5441666666667",1994,"8",NA,"Inukjuak",NA,"M","qPCR","S_Guillou","ADN_20_01677","HL019","librairie_143_haplotypes615"
"S_20_01935","WGS",2021,"SCI034751","PE_21_00073","B01","MOBELS","G_20_01935","DL99_06","BELUGA","Delphinapterus","leucas",NA,NA,"M","SHS","Baie_Kangiararjuk","61.5527777777778","-71.8055555555556",1999,"7",6,"Kangiqsujuaq",NA,"M","qPCR","S_Guillou","ADN_20_01892","HL011","librairie_143_haplotypes615"
