"Numero_unique_specimen","Numero_reception_specimen","Numero_unique_groupe","Nom_commun","Genre","Espece","Couleur_individu","Age","Sexe_visuel","Region_echantillonnage","Lieu_echantillonnage","Latitude_echantillonnage_DD","Longitude_echantillonnage_DD","Annee_echantillonnage","Mois_echantillonnage","Jour_echantillonnage","Communaute","Nom_chasseur","Sexe_laboratoire","Technique_sexage","Responsable_sexage","Numero_unique_extrait","Haplotype","Librairie_ref"
"S_20_00600","DL2003_S_17908","G_20_00600","BELUGA","Delphinapterus","leucas",NA,NA,"F","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga","56","-76.666",2003,"7",14,"DFO_MPO",NA,"F","qPCR","S_Guillou","ADN_20_01050","HL001","librairie_143_haplotypes615"
"S_20_00601","DL2003_S_9151","G_20_00601","BELUGA","Delphinapterus","leucas","White",NA,"M","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga","56","-76.666",2003,"7",11,"DFO_MPO",NA,"M","qPCR","C_Bonnet","ADN_20_01046","HL002","librairie_143_haplotypes615"
"S_20_00602","DL2003_S_9152","G_20_00602","BELUGA","Delphinapterus","leucas","White",NA,"F","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga","56","-76.666",2003,"7",22,"DFO_MPO",NA,"F","qPCR","C_Bonnet","ADN_20_01601","HL003","librairie_143_haplotypes615"
"S_20_00603","ARAR_03_1043","G_20_00603","BELUGA","Delphinapterus","leucas",NA,5,"F","NWH","Arviat",NA,NA,2003,"8",NA,"Arviat",NA,"F","qPCR","S_Guillou","ADN_20_00993","HL004","librairie_143_haplotypes615"
"S_20_00604","ARAR_03_1046","G_20_00604","BELUGA","Delphinapterus","leucas",NA,9,"M","NWH","Arviat",NA,NA,2003,"8",NA,"Arviat",NA,"M","PCR","C_Bonnet","ADN_20_00968","HL003","librairie_143_haplotypes615"
"S_20_00605","ARAR_03_1080","G_20_00605","BELUGA","Delphinapterus","leucas",NA,45,"M","NWH","Arviat",NA,NA,2003,"8",NA,"Arviat",NA,"M","qPCR","C_Bonnet","ADN_20_01025","HL003","librairie_143_haplotypes615"
"S_20_00606","ARAR_03_1074","G_20_00606","BELUGA","Delphinapterus","leucas",NA,11,"F","NWH","Arviat",NA,NA,2003,"8",17,"Arviat",NA,"F","qPCR","S_Guillou","ADN_20_01021","HL004","librairie_143_haplotypes615"
"S_20_00607","ARAR_03_1073","G_20_00607","BELUGA","Delphinapterus","leucas",NA,23,"M","NWH","Arviat",NA,NA,2003,"8",17,"Arviat",NA,"M","qPCR","C_Bonnet","ADN_20_01020","HL003","librairie_143_haplotypes615"
"S_20_00608","ARAR_03_1077","G_20_00608","BELUGA","Delphinapterus","leucas",NA,9,"F","NWH","Arviat",NA,NA,2003,"8",NA,"Arviat",NA,"F","qPCR","C_Bonnet","ADN_20_01023","HL001","librairie_143_haplotypes615"
"S_20_00609","ARAR_03_1061","G_20_00609","BELUGA","Delphinapterus","leucas",NA,35,"F","NWH","Arviat",NA,NA,2003,"8",17,"Arviat",NA,"F","qPCR","C_Bonnet","ADN_20_01008","HL005","librairie_143_haplotypes615"
"S_20_00610","ARAR_03_1058","G_20_00610","BELUGA","Delphinapterus","leucas",NA,35,"F","NWH","Arviat",NA,NA,2003,"8",NA,"Arviat",NA,"F","qPCR","S_Guillou","ADN_20_01005","HL001","librairie_143_haplotypes615"
"S_20_00611","ARAR_03_1075","G_20_00611","BELUGA","Delphinapterus","leucas",NA,15,"F","NWH","Arviat",NA,NA,2003,"8",9,"Arviat",NA,"M","qPCR","C_Bonnet","ADN_20_01022","HL001","librairie_143_haplotypes615"
"S_20_00612","ARAR_03_1045","G_20_00612","BELUGA","Delphinapterus","leucas",NA,NA,NA,"NWH","Arviat",NA,NA,2003,"8",14,NA,NA,"M","qPCR","S_Guillou","ADN_20_00995","HL006","librairie_143_haplotypes615"
"S_20_00613","ARAR_03_1056","G_20_00613","BELUGA","Delphinapterus","leucas",NA,NA,"F","NWH","Arviat",NA,NA,2003,"8",NA,NA,NA,"F","qPCR","S_Guillou","ADN_20_01003","HL001","librairie_143_haplotypes615"
"S_20_00614","ARAR_03_1059","G_20_00614","BELUGA","Delphinapterus","leucas",NA,11,"M","NWH","Arviat",NA,NA,2003,"8",14,"Arviat",NA,"M","qPCR","C_Bonnet","ADN_20_01006","HL003","librairie_143_haplotypes615"
"S_20_00615","ARAR_03_1060","G_20_00615","BELUGA","Delphinapterus","leucas",NA,15,"F","NWH","Arviat",NA,NA,2003,"8",9,"Arviat",NA,"M","qPCR","S_Guillou","ADN_20_01007","HL001","librairie_143_haplotypes615"
"S_20_00616","ARAR_03_1062","G_20_00616","BELUGA","Delphinapterus","leucas",NA,22,"F","NWH","Arviat",NA,NA,2003,"8",14,"Arviat",NA,"F","qPCR","S_Guillou","ADN_20_01009","HL001","librairie_143_haplotypes615"
"S_20_00617","ARAR_03_1072","G_20_00617","BELUGA","Delphinapterus","leucas",NA,24,"M","NWH","Arviat",NA,NA,2003,"8",13,"Arviat",NA,"M","qPCR","S_Guillou","ADN_20_01019","HL003","librairie_143_haplotypes615"
"S_20_00618","ARAR_03_1041","G_20_00618","BELUGA","Delphinapterus","leucas",NA,16,"F","NWH","Arviat",NA,NA,2003,"8",17,"Arviat",NA,"F","qPCR","S_Guillou","ADN_20_00991","HL006","librairie_143_haplotypes615"
"S_20_00619","DL2003_S_5091","G_20_00619","BELUGA","Delphinapterus","leucas","White",NA,"F","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga","56","-76.666",2003,"7",22,"DFO_MPO",NA,"F","qPCR","S_Guillou","ADN_20_01045",NA,"librairie_143_haplotypes615"
"S_20_00620","DL2003_S_1853","G_20_00620","BELUGA","Delphinapterus","leucas","Grey",NA,"M","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga","56","-76.666",2003,"7",14,"DFO_MPO",NA,"U","qPCR","S_Guillou","ADN_20_01043","HL007","librairie_143_haplotypes615"
"S_20_00621","DL2003_S_1852","G_20_00621","BELUGA","Delphinapterus","leucas","Grey",NA,"M","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga","56","-76.666",2003,"7",11,"DFO_MPO",NA,"M","qPCR","S_Guillou","ADN_20_01042","HL001","librairie_143_haplotypes615"
"S_20_00622","JBDL_07_01","G_20_00622","BELUGA","Delphinapterus","leucas",NA,NA,"F","JAM","Pointe_de_Repentigny","52.64","-78.856",2007,"8",9,"DFO_MPO",NA,"F","qPCR","S_Guillou","ADN_20_00971","HL008","librairie_143_haplotypes615"
"S_20_00623","ARSQ_03_1008","G_20_00623","BELUGA","Delphinapterus","leucas",NA,21,"F","SAN","Wiegand_Island",NA,NA,2003,"7",7,"Sanikiluaq",NA,"F","qPCR","S_Guillou","ADN_20_01079","HL001","librairie_143_haplotypes615"
"S_20_00624","ARSQ_03_1009","G_20_00624","BELUGA","Delphinapterus","leucas",NA,5,"F","SAN","Wiegand_Island",NA,NA,2003,"7",7,"Sanikiluaq",NA,"F","qPCR","S_Guillou","ADN_20_01080","HL009","librairie_143_haplotypes615"
"S_20_00625","ARSQ_03_1011","G_20_00625","BELUGA","Delphinapterus","leucas",NA,7,NA,"SAN","Sanikiluaq",NA,NA,2003,"7",NA,"Sanikiluaq",NA,"F","qPCR","S_Guillou","ADN_20_04807","HL001","librairie_143_haplotypes615"
"S_20_00626","ARSQ_03_1013","G_20_00626","BELUGA","Delphinapterus","leucas",NA,13,"M","SAN","Sanikiluaq",NA,NA,2003,"7",8,"Sanikiluaq","Lucassie_Takatak","M","qPCR","S_Guillou","ADN_20_01082","HL010","librairie_143_haplotypes615"
"S_20_00627","ARSQ_03_1006","G_20_00627","BELUGA","Delphinapterus","leucas",NA,5,"F","SAN","Wiegand_Island",NA,NA,2003,"7",7,"Sanikiluaq",NA,"F","qPCR","C_Bonnet","ADN_20_04818","HL001","librairie_143_haplotypes615"
"S_20_00628","ARSQ_03_1007","G_20_00628","BELUGA","Delphinapterus","leucas",NA,NA,"M","SAN","Wiegand_Island",NA,NA,2003,"7",7,"Sanikiluaq",NA,"M","qPCR","C_Bonnet","ADN_20_01078","HL001","librairie_143_haplotypes615"
"S_20_00629","ARNR_04_02","G_20_00629","BELUGA","Delphinapterus","leucas",NA,NA,"M","SWH","Nelson_River","57.06494","-92.19655",2004,"7",24,"Churchill",NA,"M","qPCR","C_Bonnet","ADN_20_01062","HL003","librairie_143_haplotypes615"
"S_20_00630","ARNR_04_03","G_20_00630","BELUGA","Delphinapterus","leucas",NA,NA,"F","SWH","Nelson_River","57.06494","-92.19655",2004,"7",25,"Churchill",NA,"F","qPCR","C_Bonnet","ADN_20_01063","HL001","librairie_143_haplotypes615"
"S_20_00631","ARNR_03_03","G_20_00631","BELUGA","Delphinapterus","leucas",NA,NA,"F","SWH","Nelson_River","57.06494","-92.19655",2003,"8",4,"Churchill",NA,"F","qPCR","C_Bonnet","ADN_20_01130","HL003","librairie_143_haplotypes615"
