"Haplo","BEL","CSB","EHB","FRB","IG","JAM","NHS","RES","SHS","SLE","UNG","WHB"
"HL001",30,13,22,7,1,3,2,2,69,0,26,48
"HL002",4,0,16,2,0,1,0,0,0,0,0,0
"HL003",3,57,7,11,1,1,8,8,83,0,54,106
"HL004",1,1,0,1,6,0,1,0,6,0,3,29
"HL005",0,0,0,0,0,0,0,0,0,0,0,1
"HL006",0,0,0,0,0,0,0,0,0,0,0,7
"HL007",1,0,2,0,0,1,0,0,2,0,0,0
"HL008",0,1,6,2,0,34,3,1,7,3,5,8
"HL009",2,0,26,0,0,0,0,0,0,0,0,5
"HL010",4,0,23,0,0,1,1,0,4,1,2,0
"HL011",0,4,0,3,0,1,1,0,11,0,5,5
"HL012",1,0,0,6,0,0,1,0,10,0,2,9
"HL013",0,0,3,0,0,0,0,0,1,0,0,3
"HL014",0,0,0,0,0,2,0,0,1,0,4,2
"HL015",0,0,0,0,0,0,1,0,8,0,2,6
"HL016",2,0,23,0,1,3,0,0,6,0,0,9
"HL017",0,0,2,0,0,0,0,0,0,0,3,1
"HL018",0,0,3,0,0,0,0,0,0,0,0,2
"HL019",0,0,12,0,0,0,0,0,0,0,0,2
"HL020",1,0,2,0,0,0,0,0,7,0,1,3
"HL021",0,6,0,0,0,0,0,0,0,0,0,0
"HL022",10,20,1,1,0,0,0,0,0,0,0,0
"HL023",0,2,0,0,0,0,0,0,0,0,0,0
"HL024",0,29,0,0,0,0,0,0,0,1,0,0
"HL025",0,1,0,0,0,0,0,0,1,0,2,1
"HL026",2,0,0,0,0,0,0,1,2,0,0,13
"HL027",0,0,0,0,0,0,0,0,1,0,0,1
"HL028",0,7,0,0,0,0,0,0,0,0,0,0
"HL029",0,1,0,0,0,0,0,0,1,0,0,0
"HL030",0,5,0,0,0,0,0,0,0,0,0,1
"HL031",0,0,0,0,0,0,0,0,0,0,0,1
"HL033",0,0,0,0,0,0,0,0,0,0,0,1
"HL034",0,0,0,1,0,1,0,0,0,0,0,2
"HL035",2,0,1,0,0,1,0,0,0,0,1,0
"HL038",0,0,1,0,0,8,0,0,0,0,0,0
"HL039",2,0,0,0,0,0,0,0,0,0,0,2
"HL040",0,4,0,0,0,0,0,0,0,0,0,0
"HL041",0,0,4,0,0,0,0,0,0,0,0,2
"HL042",0,2,0,1,0,0,0,0,1,0,1,5
"HL043",0,0,0,0,0,0,0,0,0,0,2,5
"HL044",0,0,0,0,1,0,0,0,0,0,0,6
"HL045",0,0,0,0,0,0,0,0,0,0,0,1
"HL046",0,0,0,0,0,0,0,0,0,0,0,1
"HL047",0,0,0,0,0,0,0,0,1,0,0,3
"HL048",3,0,0,0,0,0,0,0,1,0,0,1
"HL049",3,0,6,1,0,0,1,0,2,1,0,0
"HL050",0,9,1,1,0,0,0,0,2,1,0,0
"HL051",0,1,0,0,0,0,0,0,0,0,0,2
"HL052",0,0,0,0,0,0,0,0,1,0,0,0
"HL053",0,1,0,0,0,0,0,0,2,0,1,6
"HL055",0,4,0,1,0,0,0,1,0,0,0,1
"HL056",0,3,0,1,0,0,1,0,2,0,1,1
"HL057",0,5,0,0,0,0,0,0,0,0,0,0
"HL059",0,0,0,0,0,0,0,0,0,0,0,1
"HL060",0,0,0,0,0,0,0,0,1,0,1,4
"HL063",0,0,2,0,0,0,0,0,1,0,0,0
"HL064",1,1,0,0,0,0,0,0,0,0,0,0
"HL066",0,0,0,0,0,0,0,0,1,0,0,0
"HL068",1,0,0,1,0,0,0,0,0,0,1,0
"HL069",0,0,1,0,0,0,0,0,0,0,0,0
"HL070",0,0,0,0,0,10,0,0,0,0,0,0
"HL071",0,0,4,0,0,0,0,0,0,0,0,0
"HL072",0,0,0,0,0,3,0,0,0,0,0,0
"HL073",0,1,0,0,0,0,0,0,0,0,0,0
"HL074",1,0,0,0,0,4,0,0,0,0,0,0
"HL077",0,0,6,0,0,1,0,0,1,0,0,0
"HL079",0,0,0,0,0,0,0,2,0,0,0,0
"HL080",0,0,0,0,0,0,0,1,0,0,0,0
"HL081",0,0,0,1,1,0,0,0,0,0,0,2
"HL082",0,5,0,0,0,0,0,0,0,0,0,0
"HL083",0,0,0,0,0,0,0,0,0,0,0,1
"HL084",0,0,0,0,0,0,0,0,0,0,0,1
"HL085",0,0,0,0,0,0,0,0,0,0,0,1
"HL086",0,0,0,0,0,0,0,1,0,0,0,0
"HL087",0,0,0,0,0,0,0,0,0,0,0,1
"HL088",1,0,0,0,0,0,0,0,0,0,0,0
"HL090",0,0,0,0,0,0,0,0,0,0,0,3
"HL091",0,0,0,0,0,0,0,0,0,0,0,1
"HL092",1,0,2,0,0,0,0,0,0,0,0,0
"HL094",0,0,0,0,0,0,0,0,1,0,1,0
"HL097",0,0,1,0,0,0,0,0,1,0,0,0
"HL099",0,0,0,0,0,0,0,0,0,17,0,0
"HL100",0,0,0,0,0,0,0,0,0,1,0,0
"HL102",0,0,0,0,0,0,0,0,0,2,0,0
"HL103",0,0,5,0,0,0,0,0,0,0,0,0
"HL104",0,0,0,0,0,0,0,0,1,0,0,0
"HL105",0,0,0,0,0,0,0,0,2,0,0,0
"HL108",0,0,0,0,0,0,0,0,2,0,0,0
"HL111",0,0,0,0,0,0,0,0,1,0,0,0
"HL112",1,0,0,0,0,0,0,0,0,0,0,0
"HL114",0,0,0,0,0,1,0,0,0,0,0,0
"HL115",1,0,0,0,0,1,0,0,0,0,0,0
"HL121",0,0,0,0,0,1,0,0,0,0,0,0
"HL122",0,0,1,0,0,0,0,0,0,0,0,0
"HL123",0,0,1,0,0,0,0,0,0,0,0,0
"HL128",0,1,0,0,0,0,0,0,0,0,0,0
"HL129",0,0,0,0,0,0,0,0,0,0,0,1
"HL135",0,0,0,0,0,0,0,1,0,0,0,0
"HL137",0,0,0,0,1,0,0,0,0,0,0,0
"HL138",0,0,0,0,1,0,0,0,0,0,0,0
"HL139",0,1,0,0,0,0,0,0,0,0,0,0
"HL140",0,1,0,0,0,0,0,0,0,0,0,0
"HL141",0,1,0,0,0,0,0,0,0,0,0,0
"HL142",0,1,0,0,0,0,0,0,0,0,0,0
"HL143",0,1,0,0,0,0,0,0,0,0,0,0
