SampleID,ind,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,Region,Harvest Region,Season
S_20_00661,335.CBS.2002.BELUGA.ADN_20_04835.S_20_00661.dl.n_s.bam,-0.00986854,-0.0279593,-0.16687,-0.0755085,0.0030557,-0.00636482,-0.0450429,0.019643,0.00165983,-0.0156184,0.00578202,0.0153278,0.000618728,0.00412023,-0.0161397,-0.000782736,0.012831,0.0240793,0.0243653,0.031489,Cumberland Sound,CSB,Summer
S_20_00662,309.CBS.2002.BELUGA.ADN_20_01145.S_20_00662.dl.n_s.bam,-0.00883441,-0.0266633,-0.130127,-0.0657592,-0.00450427,-0.000841425,-0.0525734,0.00249965,-0.00706438,0.000830823,0.00185805,-0.00094676,0.00417384,-0.00333725,0.0113998,0.00863883,-0.0165473,0.00160403,0.0131031,-0.0100122,Cumberland Sound,CSB,Summer
S_20_00663,327.CBS.2002.BELUGA.ADN_20_02299.S_20_00663.dl.n_s.bam,-0.00893182,-0.0263483,-0.142853,-0.0729526,0.0106291,0.0122665,-0.0461986,-0.0192238,-0.00851978,0.0262448,0.0051137,-0.000767637,-0.0171625,-0.00664475,-0.0127819,0.004203,0.0113131,0.0184496,0.00327155,0.0212293,Cumberland Sound,CSB,Summer
S_20_00664,328.CBS.2005.BELUGA.ADN_20_02296.S_20_00664.dl.n_s.bam,-0.00431091,-0.0194895,0.0232825,-0.00161134,-0.0262123,0.0539602,-0.0144034,-0.0359013,0.0335293,0.0701013,-0.0137858,-0.0176582,-0.0144093,0.00182646,-0.0119454,-0.0146718,0.0169786,0.0095798,-0.015309,0.0122308,Cumberland Sound,CSB,Summer
S_20_00691,339.CBS.2002.BELUGA.ADN_20_01139.S_20_00691.dl.n_s.bam,-0.00970678,-0.0300316,-0.157006,-0.0698583,-0.00440862,-0.0287286,-0.0567071,6.87E-05,-0.0288064,-0.0223767,-0.00196802,0.010315,0.0345278,-0.0139931,-0.00194228,-0.019673,0.0275098,-0.0232582,0.036055,-0.0227269,Cumberland Sound,CSB,Summer
S_20_00693,316.CBS.2005.BELUGA.ADN_20_02375.S_20_00693.dl.n_s.bam,-0.0139712,-0.0223556,0.00709366,0.0065155,-0.0270706,0.0265408,-0.0102332,0.0333892,0.0369463,-0.000732311,0.00730033,-0.017672,-0.00999237,-0.00958455,0.0400918,-0.003914,0.00424249,-0.00594909,0.00373728,-0.0241913,Cumberland Sound,CSB,Summer
S_20_00694,326.CBS.2002.BELUGA.ADN_20_02300.S_20_00694.dl.n_s.bam,-0.0140035,-0.0297133,-0.177981,-0.0845376,-0.00490049,-0.0275164,-0.0642586,0.0244956,-0.0231663,-0.0415077,0.0106746,0.0292893,0.0243756,-0.023378,0.000594647,-0.0130813,0.0308424,0.00254571,0.0161405,-0.0308066,Cumberland Sound,CSB,Summer
S_20_00703,319.CBS.2006.BELUGA.ADN_20_02380.S_20_00703.dl.n_s.bam,-0.0118138,-0.0294103,-0.153469,-0.0692702,0.00520278,-0.0171323,-0.0410303,0.0245243,0.00389775,-0.0316649,0.00384616,-0.00788932,0.0314458,0.0155045,0.0275216,-0.00877315,0.000702905,-0.0211185,0.00534509,-0.0494277,Cumberland Sound,CSB,Summer
S_20_00776,333.CBS.2002.BELUGA.ADN_20_02420.S_20_00776.dl.n_s.bam,-0.0112249,-0.0270197,-0.159586,-0.0719829,0.00747656,-0.0283694,-0.0538361,0.030957,-0.0179458,-0.0582208,0.0053273,0.0281513,0.019277,-0.00101226,-0.00485638,-0.017773,0.0435229,-0.0174785,0.00434513,-0.000887429,Cumberland Sound,CSB,Summer
S_20_00778,338.CBS.2002.BELUGA.ADN_20_02298.S_20_00778.dl.n_s.bam,-0.0115561,-0.0259475,-0.126335,-0.0500086,-0.0047454,0.00748457,-0.0288648,-0.0102959,-0.00726343,0.0172652,-0.00901485,0.000837582,-0.00777432,0.00903042,-0.00445574,-0.00217879,-0.0168313,-0.00299557,-0.00814802,-0.00409748,Cumberland Sound,CSB,Summer
S_20_00781,324.CBS.2007.BELUGA.ADN_20_02283.S_20_00781.dl.n_s.bam,-0.00475699,-0.0270562,-0.135126,-0.073502,0.00276828,0.00237494,-0.0579166,-0.0193937,0.00191373,0.0432429,-0.0102357,-0.0145129,-0.00936259,0.00107985,-0.0225534,0.0112603,-0.00397523,-0.0227207,-0.0150823,0.00360207,Cumberland Sound,CSB,Summer
S_20_00784,341.CBS.2007.BELUGA.ADN_20_02285.S_20_00784.dl.n_s.bam,-0.0136687,-0.0271347,-0.139292,-0.04854,0.0108383,-0.0219689,-0.0287552,0.0151345,-0.00587877,-0.0376631,0.00636667,0.0232012,0.0112192,-0.00731573,0.00369671,0.00706368,0.0105084,0.0114249,0.012218,0.0103472,Cumberland Sound,CSB,Summer
S_20_00785,322.CBS.2006.BELUGA.ADN_20_02286.S_20_00785.dl.n_s.bam,-0.00983561,-0.0294653,-0.152047,-0.076516,-0.000772099,8.15E-05,-0.0828053,-0.0269651,-0.0122918,0.0496305,-0.00329818,-0.00802634,-0.0114535,0.0127822,-0.0176154,-0.0173146,-0.0488752,0.0191757,0.0111343,-0.0294986,Cumberland Sound,CSB,Summer
S_20_01255,340.CBS.2009.BELUGA.ADN_20_04646.S_20_01255.dl.n_s.bam,-0.0114109,-0.0259978,0.027426,-0.00316704,-0.0239048,0.0309397,0.00599667,0.0495145,0.0366938,-0.0277726,0.0146933,0.00515121,0.00560049,-0.0046423,-0.0260999,-0.0536359,0.0464296,0.00841074,-0.0228186,0.039161,Cumberland Sound,CSB,Summer
S_20_01270,336.CBS.1997.BELUGA.ADN_20_04666.S_20_01270.dl.n_s.bam,-0.0136327,-0.0297375,-0.141836,-0.0638796,-0.00546722,-0.0120079,-0.0429947,-0.00241813,-0.0059633,-0.0169746,0.015024,-0.00740179,-0.0167599,-0.0091862,-0.0168495,0.0106486,0.0085084,0.0147049,0.0161438,0.0121449,Cumberland Sound,CSB,Summer
S_20_01273,305.CBS.1997.BELUGA.ADN_20_05020.S_20_01273.dl.n_s.bam,-0.0101897,-0.0290723,-0.142614,-0.0600146,0.00595022,-0.0142312,-0.0533489,-0.00933396,-0.00398333,-0.00362151,8.55E-05,-0.0134762,-0.0103421,0.0165608,-0.0098191,-0.00492488,0.0132383,-0.00321149,-0.0174586,-0.00749272,Cumberland Sound,CSB,Summer
S_20_01327,303.CBS.1997.BELUGA.ADN_20_04678.S_20_01327.dl.n_s.bam,-0.0147169,-0.0299239,-0.172093,-0.0769352,-0.00709222,-0.0267516,-0.0605422,0.0387211,-0.0173722,-0.0746403,0.018789,0.0366097,0.0143924,-0.017455,0.0069328,0.00384574,-0.00538989,-0.0140146,-0.00262117,0.0363495,Cumberland Sound,CSB,Summer
