"ID_GQ","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","K","ID_rcpt","Region1","Location","Year","Month","Day","Community","Haplo"
"S_20_00600",0.932998,0.067002,NA,NA,NA,NA,NA,NA,NA,NA,2,"DL2003_S_17908","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,14,"DFO_MPO","HL001"
"S_20_00601",0.948518,0.051482,NA,NA,NA,NA,NA,NA,NA,NA,2,"DL2003_S_9151","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,11,"DFO_MPO","HL002"
"S_20_00602",0.950564,0.049436,NA,NA,NA,NA,NA,NA,NA,NA,2,"DL2003_S_9152","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,22,"DFO_MPO","HL003"
"S_20_00603",0.977357,0.022643,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1043","NWH","Arviat",2003,8,NA,"Arviat","HL004"
"S_20_00604",0.969288,0.030712,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1046","NWH","Arviat",2003,8,NA,"Arviat","HL003"
"S_20_00605",0.950719,0.049281,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1080","NWH","Arviat",2003,8,NA,"Arviat","HL003"
"S_20_00606",0.968142,0.031858,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1074","NWH","Arviat",2003,8,17,"Arviat","HL004"
"S_20_00607",0.976101,0.023899,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1073","NWH","Arviat",2003,8,17,"Arviat","HL003"
"S_20_00608",0.967333,0.032667,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1077","NWH","Arviat",2003,8,NA,"Arviat","HL001"
"S_20_00609",0.933613,0.066387,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1061","NWH","Arviat",2003,8,17,"Arviat","HL005"
"S_20_00610",0.981427,0.018573,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1058","NWH","Arviat",2003,8,NA,"Arviat","HL001"
"S_20_00611",0.968358,0.031642,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1075","NWH","Arviat",2003,8,9,"Arviat","HL001"
"S_20_00614",0.938466,0.061534,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1059","NWH","Arviat",2003,8,14,"Arviat","HL003"
"S_20_00615",0.931135,0.068865,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1060","NWH","Arviat",2003,8,9,"Arviat","HL001"
"S_20_00616",0.976597,0.023403,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1062","NWH","Arviat",2003,8,14,"Arviat","HL001"
"S_20_00617",0.938422,0.061578,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1072","NWH","Arviat",2003,8,13,"Arviat","HL003"
"S_20_00618",0.938134,0.061866,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1041","NWH","Arviat",2003,8,17,"Arviat","HL006"
"S_20_00620",0.95264,0.04736,NA,NA,NA,NA,NA,NA,NA,NA,2,"DL2003_S_1853","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,14,"DFO_MPO","HL007"
"S_20_00621",0.935554,0.064446,NA,NA,NA,NA,NA,NA,NA,NA,2,"DL2003_S_1852","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,11,"DFO_MPO","HL001"
"S_20_00622",0.959549,0.040451,NA,NA,NA,NA,NA,NA,NA,NA,2,"JBDL_07_01","JAM","Pointe_de_Repentigny",2007,8,9,"DFO_MPO","HL008"
"S_20_00625",0.938529,0.061471,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_03_1011","BEL","Sanikiluaq",2003,7,NA,"Sanikiluaq","HL001"
"S_20_00626_rep",0.955946,0.044054,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_03_1013","BEL","Sanikiluaq",2003,7,8,"Sanikiluaq","HL010"
"S_20_00627",0.934244,0.065756,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_03_1006","BEL","Wiegand_Island",2003,7,7,"Sanikiluaq","HL001"
"S_20_00628",0.94727,0.05273,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARSQ_03_1007","BEL","Wiegand_Island",2003,7,7,"Sanikiluaq","HL001"
"S_20_00629",0.954806,0.045194,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARNR_04_02","SWH","Nelson_River",2004,7,24,"Churchill","HL003"
"S_20_00630",0.97008,0.02992,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARNR_04_03","SWH","Nelson_River",2004,7,25,"Churchill","HL001"
"S_20_00632",0.94485,0.05515,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARNR_04_06","SWH","Nelson_River",2004,7,27,"Churchill","HL001"
"S_20_00633",0.918325,0.081675,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARNR_05_04","SWH","Nelson_River",2005,7,30,"Churchill","HL001"
"S_20_00635",0.936479,0.063521,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQ04_6017","SHS","Kangiqsujuaq",2004,7,22,"Kangiqsujuaq","HL001"
"S_20_00636",0.91883,0.08117,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQ04_6519","SHS","Falaise_Innijuaq",2004,7,2,"Salluit","HL003"
"S_20_00638",0.92339,0.07661,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQ04_6522","SHS","Falaise_Innijuaq",2004,7,1,"Salluit","HL001"
"S_20_00639",0.950565,0.049435,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQ04_6171","SHS","Baie_Nanuttuvik",2004,6,30,"Salluit","HL012"
"S_20_00640",0.973988,0.026012,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQ04_6172","SHS","Salluit_Fjord",2004,6,30,"Salluit","HL011"
"S_20_00642",0.947355,0.052645,NA,NA,NA,NA,NA,NA,NA,NA,2,"FMMM_CH_001","NHB","Coral_Harbour",1993,7,25,"Coral Harbour","HL008"
"S_20_00643",0.94911,0.05089,NA,NA,NA,NA,NA,NA,NA,NA,2,"FMMM_CH_011","NHB","Coral_Harbour",1993,7,27,"Coral Harbour","HL013"
"S_20_00644",0.946052,0.053948,NA,NA,NA,NA,NA,NA,NA,NA,2,"FMMM_CH_016","NHB","Coral_Harbour",1993,7,26,"Coral Harbour","HL003"
"S_20_00645",0.977788,0.022212,NA,NA,NA,NA,NA,NA,NA,NA,2,"FMMM_CH_018","NHB","Coral_Harbour",1993,7,26,"Coral Harbour","HL009"
"S_20_00646_rep",0.934273,0.065727,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQDL_3100","UNG","Anse_Inussujuaq_Misaqvik",2001,7,20,"Kangirsuk","HL014"
"S_20_00647_rep",0.940026,0.059974,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQDL_3095","UNG","Anse_Inussujuaq_Misaqvik",2001,7,19,"Kangirsuk","HL003"
"S_20_00649",0.97087,0.02913,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQDL_3245","UNG","Aupaluk",2001,7,5,"Aupaluk","HL014"
"S_20_00650",0.950993,0.049007,NA,NA,NA,NA,NA,NA,NA,NA,2,"NQDL_3251","UNG","Aupaluk",2001,7,5,"Aupaluk","HL001"
"S_20_00652",0.970487,0.029513,NA,NA,NA,NA,NA,NA,NA,NA,2,"DL2003_S_17906","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,23,"DFO_MPO","HL003"
"S_20_00653",0.935785,0.064215,NA,NA,NA,NA,NA,NA,NA,NA,2,"DL2003_S_17911","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,27,"DFO_MPO","HL016"
"S_20_00654",0.942988,0.057012,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_99_1019","NWH","Arviat_west of McConnel River",1999,8,11,"Arviat","HL001"
"S_20_00656",0.98027,0.01973,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_99_1014","NWH","Arviat",1999,8,11,"Arviat","HL017"
