"ID_GQ","ID_rcpt","Region1","Location","Year","Month","Day","Community","Haplo","K","Q1","Q2","Q3","Q4","Q5","Membership.neutral"
"S_20_00600","DL2003_S_17908","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,14,"DFO_MPO","HL001",5,0.032816,1e-05,0.036803,0.00375,0.926621,"LGR"
"S_20_00601","DL2003_S_9151","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,11,"DFO_MPO","HL002",5,0.006343,1e-05,0.03099,1e-05,0.962647,"LGR"
"S_20_00602","DL2003_S_9152","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,22,"DFO_MPO","HL003",5,0.022811,0.108819,0.011016,0.04296,0.814393,"LGR"
"S_20_00603","ARAR_03_1043","NWH","Arviat",2003,8,NA,"Arviat","HL004",5,0.047994,0.506518,0.232661,0.111549,0.101278,"HBSC"
"S_20_00604","ARAR_03_1046","NWH","Arviat",2003,8,NA,"Arviat","HL003",5,0.02921,0.607845,0.240372,0.082217,0.040356,"HBSC"
"S_20_00605","ARAR_03_1080","NWH","Arviat",2003,8,NA,"Arviat","HL003",5,0.060596,0.594526,0.313283,0.014243,0.017352,"HBSC"
"S_20_00606","ARAR_03_1074","NWH","Arviat",2003,8,17,"Arviat","HL004",5,0.041551,0.604072,0.26582,0.041318,0.047239,"HBSC"
"S_20_00607","ARAR_03_1073","NWH","Arviat",2003,8,17,"Arviat","HL003",5,0.039313,0.54952,0.28219,0.029152,0.099825,"HBSC"
"S_20_00608","ARAR_03_1077","NWH","Arviat",2003,8,NA,"Arviat","HL001",5,0.025586,0.580958,0.32614,0.002933,0.064382,"HBSC"
"S_20_00609","ARAR_03_1061","NWH","Arviat",2003,8,17,"Arviat","HL005",5,0.093053,0.569181,0.22908,0.050434,0.058252,"HBSC"
"S_20_00610","ARAR_03_1058","NWH","Arviat",2003,8,NA,"Arviat","HL001",5,0.0241,0.617016,0.281768,0.062049,0.015067,"HBSC"
"S_20_00611","ARAR_03_1075","NWH","Arviat",2003,8,9,"Arviat","HL001",5,0.000298,0.457246,0.231495,0.16085,0.150111,"HBSC"
"S_20_00614","ARAR_03_1059","NWH","Arviat",2003,8,14,"Arviat","HL003",5,0.162615,0.530761,0.26015,0.03047,0.016004,"HBSC"
"S_20_00615","ARAR_03_1060","NWH","Arviat",2003,8,9,"Arviat","HL001",5,0.081158,0.460458,0.238982,0.157137,0.062265,"HBSC"
"S_20_00616","ARAR_03_1062","NWH","Arviat",2003,8,14,"Arviat","HL001",5,0.03001,0.51684,0.301564,0.080394,0.071192,"HBSC"
"S_20_00617","ARAR_03_1072","NWH","Arviat",2003,8,13,"Arviat","HL003",5,0.05849,0.587841,0.263993,0.055407,0.034268,"HBSC"
"S_20_00618","ARAR_03_1041","NWH","Arviat",2003,8,17,"Arviat","HL006",5,0.041056,0.585076,0.27712,0.076806,0.019942,"HBSC"
"S_20_00620","DL2003_S_1853","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,14,"DFO_MPO","HL007",5,0.023563,0.074352,0.104817,0.03394,0.763328,"LGR"
