"ID_GQ","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","K","ID_rcpt","Region1","Location","Year","Month","Day","Community","Haplo"
"S_20_00600",0.790432,0.209568,NA,NA,NA,NA,NA,NA,NA,NA,2,"DL2003_S_17908","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,14,"DFO_MPO","HL001"
"S_20_00601",0.801866,0.198134,NA,NA,NA,NA,NA,NA,NA,NA,2,"DL2003_S_9151","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,11,"DFO_MPO","HL002"
"S_20_00602",0.803796,0.196204,NA,NA,NA,NA,NA,NA,NA,NA,2,"DL2003_S_9152","SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,22,"DFO_MPO","HL003"
"S_20_00603",0.803498,0.196502,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1043","NWH","Arviat",2003,8,NA,"Arviat","HL004"
"S_20_00604",0.827649,0.172351,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1046","NWH","Arviat",2003,8,NA,"Arviat","HL003"
"S_20_00605",0.797646,0.202354,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1080","NWH","Arviat",2003,8,NA,"Arviat","HL003"
"S_20_00606",0.814266,0.185734,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1074","NWH","Arviat",2003,8,17,"Arviat","HL004"
"S_20_00607",0.811387,0.188613,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1073","NWH","Arviat",2003,8,17,"Arviat","HL003"
"S_20_00608",0.824066,0.175934,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1077","NWH","Arviat",2003,8,NA,"Arviat","HL001"
"S_20_00609",0.770224,0.229776,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1061","NWH","Arviat",2003,8,17,"Arviat","HL005"
"S_20_00610",0.831787,0.168213,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1058","NWH","Arviat",2003,8,NA,"Arviat","HL001"
"S_20_00611",0.840689,0.159311,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1075","NWH","Arviat",2003,8,9,"Arviat","HL001"
"S_20_00614",0.706665,0.293335,NA,NA,NA,NA,NA,NA,NA,NA,2,"ARAR_03_1059","NWH","Arviat",2003,8,14,"Arviat","HL003"
