"ID_GQ","Q1","Q2","Q3","Q4","K","Region1","Location","Year","Month","Day"
"S_20_00603",0.99999,1e-05,NA,NA,2,"NWH","Arviat",2003,8,NA
"S_20_00604",0.67035,0.32965,NA,NA,2,"NWH","Arviat",2003,8,NA
"S_20_00605",0.491004,0.508996,NA,NA,2,"NWH","Arviat",2003,8,NA
"S_20_00606",0.875437,0.124563,NA,NA,2,"NWH","Arviat",2003,8,17
"S_20_00607",0.515926,0.484074,NA,NA,2,"NWH","Arviat",2003,8,17
"S_20_00608",0.525411,0.474589,NA,NA,2,"NWH","Arviat",2003,8,NA
"S_20_00609",0.537074,0.462926,NA,NA,2,"NWH","Arviat",2003,8,17
"S_20_00610",0.76782,0.23218,NA,NA,2,"NWH","Arviat",2003,8,NA
"S_20_00611",0.715459,0.284541,NA,NA,2,"NWH","Arviat",2003,8,9
"S_20_00614",0.746,0.254,NA,NA,2,"NWH","Arviat",2003,8,14
"S_20_00615",0.747777,0.252223,NA,NA,2,"NWH","Arviat",2003,8,9
"S_20_00616",0.904534,0.095466,NA,NA,2,"NWH","Arviat",2003,8,14
"S_20_00617",0.654023,0.345977,NA,NA,2,"NWH","Arviat",2003,8,13
"S_20_00618",0.778123,0.221877,NA,NA,2,"NWH","Arviat",2003,8,17
"S_20_00625",0.742461,0.257539,NA,NA,2,"BEL","Sanikiluaq",2003,7,NA
"S_20_00626_rep",0.439121,0.560879,NA,NA,2,"BEL","Sanikiluaq",2003,7,8
"S_20_00627",0.747602,0.252398,NA,NA,2,"BEL","Wiegand_Island",2003,7,7
"S_20_00628",0.744403,0.255597,NA,NA,2,"BEL","Wiegand_Island",2003,7,7
"S_20_00629",0.488992,0.511008,NA,NA,2,"SWH","Nelson_River",2004,7,24
"S_20_00630",0.672249,0.327751,NA,NA,2,"SWH","Nelson_River",2004,7,25
"S_20_00632",0.534812,0.465188,NA,NA,2,"SWH","Nelson_River",2004,7,27
"S_20_00633",0.730228,0.269772,NA,NA,2,"SWH","Nelson_River",2005,7,30
"S_20_00635",0.526788,0.473212,NA,NA,2,"SHS","Kangiqsujuaq",2004,7,22
"S_20_00636",0.486188,0.513812,NA,NA,2,"SHS","Falaise_Innijuaq",2004,7,2
"S_20_00638",0.494299,0.505701,NA,NA,2,"SHS","Falaise_Innijuaq",2004,7,1
"S_20_00639",0.515831,0.484169,NA,NA,2,"SHS","Baie_Nanuttuvik",2004,6,30
"S_20_00640",0.544582,0.455418,NA,NA,2,"SHS","Salluit_Fjord",2004,6,30
"S_20_00642",0.50176,0.49824,NA,NA,2,"NHB","Coral_Harbour",1993,7,25
"S_20_00643",0.519662,0.480338,NA,NA,2,"NHB","Coral_Harbour",1993,7,27
"S_20_00644",0.479712,0.520288,NA,NA,2,"NHB","Coral_Harbour",1993,7,26
"S_20_00645",0.548524,0.451476,NA,NA,2,"NHB","Coral_Harbour",1993,7,26
"S_20_00646_rep",0.476906,0.523094,NA,NA,2,"UNG","Anse_Inussujuaq_Misaqvik",2001,7,20
"S_20_00647_rep",0.449663,0.550337,NA,NA,2,"UNG","Anse_Inussujuaq_Misaqvik",2001,7,19
"S_20_00649",0.325479,0.674521,NA,NA,2,"UNG","Aupaluk",2001,7,5
"S_20_00650",0.441829,0.558171,NA,NA,2,"UNG","Aupaluk",2001,7,5
"S_20_00652",0.569891,0.430109,NA,NA,2,"SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,23
"S_20_00653",0.50777,0.49223,NA,NA,2,"SEH","Little_Whale_River_Qilalugarsiuviup_Kuunga",2003,7,27
"S_20_00654",0.681248,0.318752,NA,NA,2,"NWH","Arviat_west of McConnel River",1999,8,11
"S_20_00656",0.99999,1e-05,NA,NA,2,"NWH","Arviat",1999,8,11
"S_20_00658",0.99999,1e-05,NA,NA,2,"NWH","Arviat_McConnel River",1999,8,11
"S_20_00660",0.492233,0.507767,NA,NA,2,"CSB","Pangnirtung",2005,8,3
"S_20_00664",0.472465,0.527535,NA,NA,2,"CSB","Pangnirtung_Bon_Accord",2005,8,4
"S_20_00665",0.433726,0.566274,NA,NA,2,"CSB","Pangnirtung_Imilit",2006,6,30
"S_20_00676",0.776635,0.223365,NA,NA,2,"NWH","Churchill",1992,7,5
"S_20_00678",0.7537,0.2463,NA,NA,2,"NWH","Churchill",1992,7,4
"S_20_00681",0.99999,1e-05,NA,NA,2,"NWH","Arviat_McConnel River",1999,8,11
"S_20_00683",0.535672,0.464328,NA,NA,2,"NWH","Arviat_Sentry Island",1999,8,11
"S_20_00684",0.600809,0.399191,NA,NA,2,"NWH","Chesterfield_Inlet_Baker Foreland",1997,8,17
"S_20_00685",0.99999,1e-05,NA,NA,2,"NWH","Chesterfield_Inlet_Josephine_River",1999,8,22
"S_20_00686",0.99999,1e-05,NA,NA,2,"NWH","Chesterfield_Inlet_Josephine_River",1999,8,22
"S_20_00687",0.507108,0.492892,NA,NA,2,"NWH","Arviat_McConnel River",1999,8,11
"S_20_00690",0.529948,0.470052,NA,NA,2,"CSB","Pangnirtung",2005,7,9
"S_20_00692",0.47314,0.52686,NA,NA,2,"CSB","Pangnirtung_Tarriunittuq_Bay",2005,8,3
"S_20_00701",0.322287,0.677713,NA,NA,2,"CSB","Pangnirtung",2005,7,12
"S_20_00713",0.925461,0.074539,NA,NA,2,"BEL","Sanikiluaq",2002,5,30
"S_20_00717",0.783136,0.216864,NA,NA,2,"BEL","Sanikiluaq",2004,6,19
"S_20_00718",0.753651,0.246349,NA,NA,2,"BEL","Sanikiluaq",2003,9,29
"S_20_00720",0.711372,0.288628,NA,NA,2,"BEL","Sanikiluaq",2003,9,29
"S_20_00721",0.99999,1e-05,NA,NA,2,"BEL","Sanikiluaq",2004,6,18
"S_20_00726",0.686,0.314,NA,NA,2,"BEL","Sanikiluaq",2003,9,29
"S_20_00732",0.893446,0.106554,NA,NA,2,"BEL","Sanikiluaq",2004,7,NA
"S_20_00734",0.99999,1e-05,NA,NA,2,"BEL","Sanikiluaq",2003,6,28
"S_20_00738",0.622796,0.377204,NA,NA,2,"BEL","Sanikiluaq",2004,6,17
"S_20_00741",0.69836,0.30164,NA,NA,2,"BEL","Sanikiluaq",2002,5,17
"S_20_00742",0.721127,0.278873,NA,NA,2,"BEL","Sanikiluaq",2004,NA,NA
"S_20_00744",0.741163,0.258837,NA,NA,2,"BEL","Sanikiluaq",2002,5,30
"S_20_00745",0.774831,0.225169,NA,NA,2,"BEL","Sanikiluaq",2003,9,NA
"S_20_00748",0.636625,0.363375,NA,NA,2,"BEL","Sanikiluaq",2004,6,17
"S_20_00750",0.771823,0.228177,NA,NA,2,"BEL","Sanikiluaq",2003,9,29
"S_20_00751",0.726715,0.273285,NA,NA,2,"BEL","Sanikiluaq",2003,NA,NA
"S_20_00755",0.715387,0.284613,NA,NA,2,"BEL","Sanikiluaq",2004,6,17
"S_20_00757",0.799756,0.200244,NA,NA,2,"BEL","Sanikiluaq",2004,6,17
"S_20_00765",0.733398,0.266602,NA,NA,2,"BEL","Sanikiluaq",2002,5,30
"S_20_00766",0.771718,0.228282,NA,NA,2,"BEL","Sanikiluaq",2002,5,30
"S_20_00767",0.775633,0.224367,NA,NA,2,"BEL","Sanikiluaq",2004,6,18
"S_20_00770",0.370024,0.629976,NA,NA,2,"SWH","Nelson_River",2003,7,30
"S_20_00771",0.754976,0.245024,NA,NA,2,"SWH","Nelson_River",2003,8,4
"S_20_00772",0.519992,0.480008,NA,NA,2,"SWH","Nelson_River",2003,8,3
"S_20_00775",0.489926,0.510074,NA,NA,2,"SWH","Nelson_River",2005,7,23
"S_20_00779",0.585439,0.414561,NA,NA,2,"SWH","Nelson_River",2002,7,13
"S_20_00780",0.99999,1e-05,NA,NA,2,"NWH","Coral Harbour_Ruin Point",2001,9,3
"S_20_00782",0.595362,0.404638,NA,NA,2,"CSB","Pangnirtung",2005,NA,NA
"S_20_00788",0.466435,0.533565,NA,NA,2,"SWH","Nelson_River",2004,7,24
"S_20_00789",0.618063,0.381937,NA,NA,2,"NWH","Arviat",2003,8,NA
"S_20_00790",0.661947,0.338053,NA,NA,2,"NWH","Arviat",2003,8,27
"S_20_00791",0.99999,1e-05,NA,NA,2,"NWH","Arviat",2003,8,6
"S_20_00792",0.700774,0.299226,NA,NA,2,"NWH","Arviat",2003,8,10
"S_20_00793",0.577377,0.422623,NA,NA,2,"NWH","Arviat",2003,8,4
"S_20_00794",0.660745,0.339255,NA,NA,2,"NWH","Arviat",2003,8,14
"S_20_00795",0.732835,0.267165,NA,NA,2,"NWH","Arviat",2003,8,17
"S_20_00797",0.834689,0.165311,NA,NA,2,"NWH","Arviat",2003,8,17
"S_20_00798",0.478324,0.521676,NA,NA,2,"NWH","Arviat",2003,8,17
"S_20_00799",0.772838,0.227162,NA,NA,2,"NWH","Arviat",2003,8,17
"S_20_00800",0.57638,0.42362,NA,NA,2,"NWH","Arviat",2003,8,15
"S_20_00801",0.637722,0.362278,NA,NA,2,"NWH","Arviat",2003,8,NA
"S_20_00802",0.551704,0.448296,NA,NA,2,"NWH","Arviat",2003,8,14
"S_20_00803",0.814855,0.185145,NA,NA,2,"NWH","Arviat",2003,8,14
"S_20_00804",0.905307,0.094693,NA,NA,2,"NWH","Arviat",2003,8,14
"S_20_00805",0.766582,0.233418,NA,NA,2,"NWH","Arviat",2003,8,9
"S_20_00806",0.776112,0.223888,NA,NA,2,"JAM","Bear_Island_Baie_James",2002,9,7
"S_20_00807",0.854319,0.145681,NA,NA,2,"JAM","Bear_Island_Baie_James",2002,9,7
"S_20_00808",0.614409,0.385591,NA,NA,2,"JAM","Bear_Island_Baie_James",2002,9,7
"S_20_00809",0.889155,0.110845,NA,NA,2,"JAM","Bear_Island_Baie_James",2002,9,7
"S_20_00810",0.564245,0.435755,NA,NA,2,"JAM","Bear_Island_Baie_James",2002,9,7
"S_20_00811",0.667503,0.332497,NA,NA,2,"NWH","Churchill",2002,NA,NA
"S_20_00812",0.452342,0.547658,NA,NA,2,"SWH","Nelson_River",2004,7,26
"S_20_00813",0.41005,0.58995,NA,NA,2,"SWH","Nelson_River",2003,8,5
"S_20_00814",0.754642,0.245358,NA,NA,2,"SHS","Quaqtaq",2001,10,25
"S_20_00816",0.64718,0.35282,NA,NA,2,"SHS","Quaqtaq",2001,10,27
"S_20_00817",1e-05,0.99999,NA,NA,2,"SHS","Quaqtaq",2001,10,26
"S_20_00818",0.532744,0.467256,NA,NA,2,"SHS","Quaqtaq",2001,10,26
"S_20_00820",0.467909,0.532091,NA,NA,2,"SHS","Quaqtaq",2001,11,2
"S_20_00828",0.535841,0.464159,NA,NA,2,"NWH","Chesterfield_Inlet",1999,9,18
"S_20_00829",0.466474,0.533526,NA,NA,2,"NWH","Chesterfield_Inlet",1999,9,22
"S_20_00830",0.556177,0.443823,NA,NA,2,"NWH","Chesterfield_Inlet",1999,9,22
"S_20_00831",0.530467,0.469533,NA,NA,2,"NWH","Chesterfield_Inlet",1999,9,18
"S_20_00832",0.587456,0.412544,NA,NA,2,"NWH","Chesterfield_Inlet",1999,9,22
"S_20_00833",0.769648,0.230352,NA,NA,2,"NWH","Chesterfield_Inlet",1999,NA,NA
"S_20_00834",0.520595,0.479405,NA,NA,2,"NWH","Chesterfield_Inlet",1999,NA,NA
"S_20_00835_rep_1",0.681626,0.318374,NA,NA,2,"SEH","Nastapoka_River",1999,NA,NA
"S_20_00836",0.415452,0.584548,NA,NA,2,"SEH","Nastapoka_River",1999,NA,NA
"S_20_00849_rep",0.470024,0.529976,NA,NA,2,"UNG","Anse_Inussujuaq_Misaqvik",2001,7,20
"S_20_00851_rep",0.401271,0.598729,NA,NA,2,"UNG","Kangirsuk",2001,6,12
"S_20_00852_rep",0.53861,0.46139,NA,NA,2,"UNG","Kangirsuk",2001,6,12
"S_20_00853",0.495948,0.504052,NA,NA,2,"UNG","Tasiujaq",2001,7,20
"S_20_00854_rep",0.352155,0.647845,NA,NA,2,"UNG","Tasiujaq",2001,7,18
"S_20_00855",0.456963,0.543037,NA,NA,2,"UNG","Tasiujaq",2001,7,22
"S_20_00856",0.604947,0.395053,NA,NA,2,"UNG","Tasiujaq",2001,7,16
