"ID_GQ","Q1","Q2","Q3","Q4","K","Region1","Location","Year","Month","Day"
"S_20_00622",1e-05,0.99999,NA,NA,2,"JAM","Pointe_de_Repentigny",2007,8,9
"S_20_00699",0.99999,1e-05,NA,NA,2,"JAM","Pointe_de_Repentigny",2007,8,25
"S_20_00710",0.565204,0.434796,NA,NA,2,"JAM","Pointe_de_Repentigny_James_Bay",2008,8,10
"S_20_00711",1e-05,0.99999,NA,NA,2,"JAM","Pointe_de_Repentigny",2007,8,9
"S_20_00712",1e-05,0.99999,NA,NA,2,"JAM","Pointe_de_Repentigny",2007,8,14
"S_20_00719",0.229787,0.770213,NA,NA,2,"BEL","Sanikiluaq",2005,5,19
"S_20_00722",1e-05,0.99999,NA,NA,2,"BEL","Sanikiluaq",2004,12,17
"S_20_00724",1e-05,0.99999,NA,NA,2,"BEL","Sanikiluaq",2005,5,19
"S_20_00725",1e-05,0.99999,NA,NA,2,"BEL","Sanikiluaq",2005,5,19
"S_20_00729",1e-05,0.99999,NA,NA,2,"BEL","Sanikiluaq",2005,5,19
"S_20_00730",0.99999,1e-05,NA,NA,2,"BEL","Sanikiluaq",2002,5,NA
"S_20_00733",1e-05,0.99999,NA,NA,2,"BEL","Sanikiluaq",2004,12,17
"S_20_00735",1e-05,0.99999,NA,NA,2,"BEL","Sanikiluaq",2005,5,19
"S_20_00740",1e-05,0.99999,NA,NA,2,"BEL","Sanikiluaq",2005,5,19
"S_20_00749",1e-05,0.99999,NA,NA,2,"BEL","Sanikiluaq",2005,5,19
"S_20_00753",1e-05,0.99999,NA,NA,2,"BEL","Sanikiluaq",2005,5,19
"S_20_00754",0.169138,0.830862,NA,NA,2,"BEL","Sanikiluaq",2005,5,19
"S_20_00758",0.291675,0.708325,NA,NA,2,"BEL","Sanikiluaq",2005,5,19
"S_20_00761",0.746341,0.253659,NA,NA,2,"BEL","Sanikiluaq",2005,5,19
"S_20_00764",1e-05,0.99999,NA,NA,2,"BEL","Sanikiluaq",2005,5,19
"S_20_00768",1e-05,0.99999,NA,NA,2,"BEL","Sanikiluaq",2005,5,19
"S_20_00769",1e-05,0.99999,NA,NA,2,"BEL","Sanikiluaq",2005,5,19
"S_20_01144",0.99999,1e-05,NA,NA,2,"JAM","James_Bay",2003,7,22
"S_20_01154",0.99999,1e-05,NA,NA,2,"JAM","James_Bay",2003,7,22
"S_20_02249",0.99999,1e-05,NA,NA,2,"SEH","Pointe_Pilavvik",2015,6,12
"S_20_02299",0.99999,1e-05,NA,NA,2,"JAM","Long_Island",2004,10,12
"S_20_03102",0.619775,0.380225,NA,NA,2,"SEH","Kuujjuarapik",1997,9,12
"S_20_03106",0.99999,1e-05,NA,NA,2,"SEH","Kuujjuarapik",1997,9,12
"S_20_03446",0.99999,1e-05,NA,NA,2,"JAM","Pointe_de_Repentigny_James_Bay",2009,7,31
"S_20_03447",0.99999,1e-05,NA,NA,2,"JAM","Pointe_de_Repentigny_James_Bay",2009,8,1
"S_20_03448",0.99999,1e-05,NA,NA,2,"JAM","Pointe_de_Repentigny_James_Bay",2009,8,9
"S_20_03449",0.737471,0.262529,NA,NA,2,"JAM","Pointe_de_Repentigny_James_Bay",2009,8,9
"S_20_03450",0.99999,1e-05,NA,NA,2,"JAM","Pointe_de_Repentigny_James_Bay",2008,8,4
