SsampleID,ID_GQ,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,K,Region,Membership
S_20_01337,222.NHS.2009.BELUGA.ADN_20_04798.S_20_01337.dl.n_s.bam,1.00E-05,1.00E-05,0.013766,0.054137,1.00E-05,1.20E-05,0.517221,1.00E-05,0.414813,1.00E-05,10,NHS,HBSC
S_20_01339,221.NHS.2009.BELUGA.ADN_20_04800.S_20_01339.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,10,NHS,HBSC
S_20_01386,230.NHS.2008.BELUGA.ADN_20_05016.S_20_01386.dl.n_s.bam,1.00E-05,0.02596,1.00E-05,1.00E-05,1.00E-05,0.023926,0.292673,1.00E-05,0.225355,0.432036,10,NHS,HBSC
S_20_01463,234.NHS.1996.BELUGA.ADN_20_04910.S_20_01463.dl.n_s.bam,0.012434,0.001634,0.013305,1.00E-05,0.008918,0.011363,0.53236,1.00E-05,0.281653,0.138313,10,NHS,HBSC
S_20_00727,143.SAN.2002.BELUGA.ADN_20_02292.S_20_00727.dl.n_s.bam,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,10,BEL,HBSC
S_20_00730,145.SAN.2002.BELUGA.ADN_20_02289.S_20_00730.dl.n_s.bam,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,JAM-BEL
S_20_00739,142.SAN.2002.BELUGA.ADN_20_02291.S_20_00739.dl.n_s.bam,0.185006,0.008825,0.047249,0.053637,0.003848,0.003124,0.259954,0.065031,0.00644,0.366887,10,BEL,HBSC
S_20_00744,144.SAN.2002.BELUGA.ADN_20_02287.S_20_00744.dl.n_s.bam,0.242938,0.00141,1.00E-05,1.80E-05,0.013947,0.014285,0.255437,0.054759,1.00E-05,0.417186,10,BEL,HBSC
S_20_00751,136.SAN.2003.BELUGA.ADN_20_01088.S_20_00751.dl.n_s.bam,0.236087,0.006324,0.018254,1.00E-05,1.00E-05,0.023422,0.288728,0.032292,1.00E-05,0.394862,10,BEL,HBSC
S_20_00756,137.SAN.2004.BELUGA.ADN_20_05321.S_20_00756.dl.n_s.bam,0.289629,0.001499,0.003932,1.00E-05,0.031955,0.02088,0.256456,0.031495,1.00E-05,0.364134,10,BEL,HBSC
S_20_00767,146.SAN.2004.BELUGA.ADN_20_01094.S_20_00767.dl.n_s.bam,0.207865,0.009197,0.032222,1.00E-05,0.013365,0.01834,0.232075,0.027962,0.021503,0.43746,10,BEL,HBSC
S_20_03466,186.SAN.2009.BELUGA.ADN_20_05143.S_20_03466.dl.n_s.bam,0.200897,1.00E-05,0.019655,1.00E-05,0.027536,0.02474,0.294029,0.02613,1.00E-05,0.406984,10,BEL,HBSC
S_20_03644,193.SAN.2018.BELUGA.ADN_20_05381.S_20_03644.dl.n_s.bam,0.217978,0.00308,0.019525,1.00E-05,0.027337,0.010638,0.280593,0.052743,1.00E-05,0.388086,10,BEL,HBSC
S_20_03675,135.SAN.1998.BELUGA.ADN_20_05109.S_20_03675.dl.n_s.bam,1.00E-05,0.006392,0.919998,1.00E-05,1.00E-05,0.004407,1.00E-05,1.00E-05,0.069143,1.00E-05,10,BEL,JAM-BEL
S_20_03678,113.SAN.2007.BELUGA.ADN_20_05112.S_20_03678.dl.n_s.bam,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,HBSC
S_20_03681,154.SAN.2007.BELUGA.ADN_20_05115.S_20_03681.dl.n_s.bam,0.326699,1.00E-05,1.00E-05,1.00E-05,0.033196,1.00E-05,1.00E-05,0.043899,1.00E-05,0.596146,10,BEL,HBSC
S_20_03689,105.SAN.2008.BELUGA.ADN_20_05123.S_20_03689.dl.n_s.bam,0.055522,1.00E-05,0.94439,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.80E-05,1.00E-05,1.00E-05,10,BEL,JAM-BEL
S_20_03707,106.SAN.2009.BELUGA.ADN_20_05141.S_20_03707.dl.n_s.bam,0.15005,0.002361,0.008573,0.021326,1.00E-05,0.045338,0.395405,0.030984,0.080168,0.265785,10,BEL,HBSC
S_20_03718,187.SAN.2010.BELUGA.ADN_20_05152.S_20_03718.dl.n_s.bam,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,JAM-BEL
S_20_03719,156.SAN.2010.BELUGA.ADN_20_05153.S_20_03719.dl.n_s.bam,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,JAM-BEL
S_20_03720,119.SAN.2010.BELUGA.ADN_20_05154.S_20_03720.dl.n_s.bam,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,JAM-BEL
S_20_03722,158.SAN.2010.BELUGA.ADN_20_05156.S_20_03722.dl.n_s.bam,1.00E-05,1.00E-05,0.877656,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.122264,10,BEL,JAM-BEL
S_20_03726,157.SAN.2010.BELUGA.ADN_20_05160.S_20_03726.dl.n_s.bam,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,JAM-BEL
S_20_03742,120.SAN.2011.BELUGA.ADN_20_05173.S_20_03742.dl.n_s.bam,0.234676,1.00E-05,0.03037,1.00E-05,0.016187,0.029464,0.386254,0.059588,1.00E-05,0.24343,10,BEL,HBSC
S_20_03743,160.SAN.2011.BELUGA.ADN_20_05174.S_20_03743.dl.n_s.bam,0.168625,0.00301,0.023181,0.012271,0.007579,0.02549,0.236659,0.018768,0.049137,0.45528,10,BEL,HBSC
S_20_03752,179.SAN.2020.BELUGA.ADN_20_05183.S_20_03752.dl.n_s.bam,0.200245,0.014797,0.024796,1.00E-05,0.019012,0.039418,0.290987,0.012958,0.00898,0.388797,10,BEL,HBSC
S_20_03753,183.SAN.2020.BELUGA.ADN_20_05184.S_20_03753.dl.n_s.bam,0.197132,0.003964,0.007152,0.029585,0.007836,0.004828,0.333037,0.025517,0.055816,0.335133,10,BEL,HBSC
S_20_03754,182.SAN.2020.BELUGA.ADN_20_05185.S_20_03754.dl.n_s.bam,0.179699,0.018074,0.025406,0.024359,0.011367,0.001124,0.214211,0.021547,0.037252,0.466961,10,BEL,HBSC
S_20_03759,153.SAN.2006.BELUGA.ADN_20_05190.S_20_03759.dl.n_s.bam,1.00E-05,1.00E-05,0.99991,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,10,BEL,JAM-BEL
