Sample_ID,ID_GQ,Q1,Q2,Q3,K
S_20_01337,222.NHS.2009.BELUGA.ADN_20_04798.S_20_01337.dl.n_s.bam,1.00E-05,0.99998,1.00E-05,3
S_20_01339,221.NHS.2009.BELUGA.ADN_20_04800.S_20_01339.dl.n_s.bam,1.00E-05,0.99998,1.00E-05,3
S_20_01386,230.NHS.2008.BELUGA.ADN_20_05016.S_20_01386.dl.n_s.bam,0.587074,0.412886,4.00E-05,3
S_20_01463,234.NHS.1996.BELUGA.ADN_20_04910.S_20_01463.dl.n_s.bam,0.426779,0.49889,0.074331,3
S_20_00739,142.SAN.2002.BELUGA.ADN_20_02291.S_20_00739.dl.n_s.bam,0.360972,0.084966,0.554062,3
S_20_00744,144.SAN.2002.BELUGA.ADN_20_02287.S_20_00744.dl.n_s.bam,0.352218,1.00E-05,0.647772,3
S_20_00751,136.SAN.2003.BELUGA.ADN_20_01088.S_20_00751.dl.n_s.bam,0.275864,1.00E-05,0.724126,3
S_20_00756,137.SAN.2004.BELUGA.ADN_20_05321.S_20_00756.dl.n_s.bam,0.284839,0.041091,0.67407,3
S_20_00767,146.SAN.2004.BELUGA.ADN_20_01094.S_20_00767.dl.n_s.bam,0.323315,0.065136,0.61155,3
S_20_03466,186.SAN.2009.BELUGA.ADN_20_05143.S_20_03466.dl.n_s.bam,0.335386,0.078535,0.586079,3
S_20_03644,193.SAN.2018.BELUGA.ADN_20_05381.S_20_03644.dl.n_s.bam,0.269783,1.00E-05,0.730207,3
S_20_03678,113.SAN.2007.BELUGA.ADN_20_05112.S_20_03678.dl.n_s.bam,1.00E-05,1.00E-05,0.99998,3
S_20_03681,154.SAN.2007.BELUGA.ADN_20_05115.S_20_03681.dl.n_s.bam,0.334575,0.007935,0.65749,3
S_20_03707,106.SAN.2009.BELUGA.ADN_20_05141.S_20_03707.dl.n_s.bam,0.331798,0.221616,0.446585,3
S_20_03742,120.SAN.2011.BELUGA.ADN_20_05173.S_20_03742.dl.n_s.bam,1.00E-05,1.00E-05,0.99998,3
S_20_03743,160.SAN.2011.BELUGA.ADN_20_05174.S_20_03743.dl.n_s.bam,0.350516,0.119374,0.53011,3
S_20_03752,179.SAN.2020.BELUGA.ADN_20_05183.S_20_03752.dl.n_s.bam,0.341043,0.071851,0.587107,3
S_20_03753,183.SAN.2020.BELUGA.ADN_20_05184.S_20_03753.dl.n_s.bam,0.324951,0.130992,0.544057,3
S_20_03754,182.SAN.2020.BELUGA.ADN_20_05185.S_20_03754.dl.n_s.bam,0.424194,0.044589,0.531217,3
S_20_03764,155.SAN.2007.BELUGA.ADN_20_05195.S_20_03764.dl.n_s.bam,0.315261,0.090962,0.593778,3
S_20_03785,129.SAN.1995.BELUGA.ADN_20_05214.S_20_03785.dl.n_s.bam,1.00E-05,1.00E-05,0.99998,3
S_20_03803,133.SAN.1997.BELUGA.ADN_20_05227.S_20_03803.dl.n_s.bam,0.280124,0.22063,0.499246,3
S_20_03816,134.SAN.1997.BELUGA.ADN_20_05233.S_20_03816.dl.n_s.bam,0.39173,0.060613,0.547657,3
S_20_03822,125.SAN.1993.BELUGA.ADN_20_06003.S_20_03822.dl.n_s.bam,0.438912,0.071134,0.489954,3
S_20_03830,128.SAN.1994.BELUGA.ADN_20_05243.S_20_03830.dl.n_s.bam,0.396116,0.122914,0.48097,3
S_20_03832,114.SAN.1994.BELUGA.ADN_20_05245.S_20_03832.dl.n_s.bam,0.303712,0.08833,0.607958,3
S_20_03836,127.SAN.1994.BELUGA.ADN_20_05248.S_20_03836.dl.n_s.bam,0.367063,0.074173,0.558764,3
S_20_03965,192.SAN.2018.BELUGA.ADN_20_05367.S_20_03965.dl.n_s.bam,0.497234,0.047416,0.45535,3
S_20_03968,190.SAN.2018.BELUGA.ADN_20_05370.S_20_03968.dl.n_s.bam,0.41369,0.062999,0.523311,3
S_20_03969,191.SAN.2018.BELUGA.ADN_20_05371.S_20_03969.dl.n_s.bam,0.393327,0.062646,0.544027,3
S_20_03971,189.SAN.2018.BELUGA.ADN_20_05373.S_20_03971.dl.n_s.bam,0.317486,0.039112,0.643402,3
S_20_03977,107.SAN.2018.BELUGA.ADN_20_05379.S_20_03977.dl.n_s.bam,0.99998,1.00E-05,1.00E-05,3
S_20_03992,173.SAN.2019.BELUGA.ADN_20_05394.S_20_03992.dl.n_s.bam,0.46543,0.075589,0.458981,3
S_20_03996,174.SAN.2019.BELUGA.ADN_20_05398.S_20_03996.dl.n_s.bam,0.384139,1.00E-05,0.615851,3
S_20_04031,122.SAN.2017.BELUGA.ADN_20_05432.S_20_04031.dl.n_s.bam,1.00E-05,1.00E-05,0.99998,3
S_20_04056,108.SAN.2019.BELUGA.ADN_20_05457.S_20_04056.dl.n_s.bam,0.340288,0.041945,0.617767,3
S_20_04076,178.SAN.2020.BELUGA.ADN_20_05477.S_20_04076.dl.n_s.bam,0.28544,0.106787,0.607774,3
S_20_04087,176.SAN.2020.BELUGA.ADN_20_05488.S_20_04087.dl.n_s.bam,1.00E-05,1.00E-05,0.99998,3
S_20_04088,181.SAN.2020.BELUGA.ADN_20_05489.S_20_04088.dl.n_s.bam,0.326826,0.068058,0.605117,3
S_20_00905,245.SHS.2003.BELUGA.ADN_20_02725.S_20_00905.dl.n_s.bam,0.59586,0.40413,1.00E-05,3
S_20_01140,281.SHS.2019.BELUGA.ADN_20_02324.S_20_01140.dl.n_s.bam,0.491621,0.176556,0.331824,3
S_20_01149,276.SHS.2019.BELUGA.ADN_20_04606.S_20_01149.dl.n_s.bam,0.500046,0.415737,0.084217,3
S_20_01181,266.SHS.2019.BELUGA.ADN_20_02312.S_20_01181.dl.n_s.bam,0.257,0.367578,0.375423,3
S_20_01182,265.SHS.2019.BELUGA.ADN_20_02318.S_20_01182.dl.n_s.bam,0.531248,0.384423,0.084329,3
S_20_01644,269.SHS.2019.BELUGA.ADN_20_02315.S_20_01644.dl.n_s.bam,0.38084,0.353511,0.265648,3
S_20_01680,267.SHS.2019.BELUGA.ADN_20_02310.S_20_01680.dl.n_s.bam,0.444089,0.406721,0.14919,3
S_20_01699,268.SHS.2019.BELUGA.ADN_20_02311.S_20_01699.dl.n_s.bam,0.445396,0.342662,0.211942,3
S_20_01705,283.SHS.2019.BELUGA.ADN_20_02344.S_20_01705.dl.n_s.bam,0.405895,0.175991,0.418113,3
S_20_01998,273.SHS.2013.BELUGA.ADN_20_04066.S_20_01998.dl.n_s.bam,0.448461,0.399806,0.151733,3
