"Population1","Population2","Fst"
"CSB","JAM",0.0370038391659483
"CSB","LGR",0.0216451822719361
"CSB","PAN",0.0118890652755674
"CSB","SLE",0.0993760535040878
"JAM","CSB",0.0370038391659483
"JAM","LGR",0.0365912019834273
"JAM","PAN",0.0254970708714637
"JAM","SLE",0.104673579303382
"LGR","CSB",0.0216451822719361
"LGR","JAM",0.0365912019834273
"LGR","PAN",0.0128433006112288
"LGR","SLE",0.0910769329397947
"PAN","CSB",0.0118890652755674
"PAN","JAM",0.0254970708714637
"PAN","LGR",0.0128433006112288
"PAN","SLE",0.0763986125239505
"SLE","CSB",0.0993760535040878
"SLE","JAM",0.104673579303382
"SLE","LGR",0.0910769329397947
"SLE","PAN",0.0763986125239505
