pop1	pop2	Fst
SLE	JAM	0.104654895
SLE	CBS	0.081879064
SLE	RES	0.090031431
SLE	Q6	0.081701564
SLE	PAN	0.073739925
JAM	SLE	0.104654895
JAM	CBS	0.042453191
JAM	RES	0.047817334
JAM	Q6	0.042802069
JAM	PAN	0.032066553
CBS	SLE	0.081879064
CBS	JAM	0.042453191
CBS	RES	0.019330838
CBS	Q6	0.016492209
CBS	PAN	0.009764281
RES	SLE	0.090031431
RES	JAM	0.047817334
RES	CBS	0.019330838
RES	Q6	0.022176837
RES	PAN	0.015147669
Q6	SLE	0.081701564
Q6	JAM	0.042802069
Q6	CBS	0.016492209
Q6	RES	0.022176837
Q6	PAN	0.009104618
PAN	SLE	0.073739925
PAN	JAM	0.032066553
PAN	CBS	0.009764281
PAN	RES	0.015147669
PAN	Q6	0.009104618
