Pop1	Pop2	FST
SLE	JAM	0.1030176
SLE	CBS	0.080455231
SLE	LGR	0.08029682
SLE	RES	0.088529121
SLE	BEL	0.074522093
SLE	PAN.west	0.072384912
SLE	PAN.all	0.0731839
JAM	SLE	0.1030176
JAM	CBS	0.041783345
JAM	LGR	0.041565859
JAM	RES	0.04709867
JAM	BEL	0.032809959
JAM	PAN.west	0.031841364
JAM	PAN.all	0.032936107
CBS	SLE	0.080455231
CBS	JAM	0.041783345
CBS	LGR	0.016427191
CBS	RES	0.019052123
CBS	BEL	0.011797282
CBS	PAN.west	0.010594352
CBS	PAN.all	0.009911285
LGR	SLE	0.08029682
LGR	JAM	0.041565859
LGR	CBS	0.016427191
LGR	RES	0.021434632
LGR	BEL	0.010394734
LGR	PAN.west	0.011133068
LGR	PAN.all	0.009690069
RES	SLE	0.088529121
RES	JAM	0.04709867
RES	CBS	0.019052123
RES	LGR	0.021434632
RES	BEL	0.016188117
RES	PAN.west	0.016645943
RES	PAN.all	0.014872376
BEL	SLE	0.074522093
BEL	JAM	0.032809959
BEL	CBS	0.011797282
BEL	LGR	0.010394734
BEL	RES	0.016188117
BEL	PAN.west	0.000471425
BEL	PAN.all	0.001769263
PAN.west	SLE	0.072384912
PAN.west	JAM	0.031841364
PAN.west	CBS	0.010594352
PAN.west	LGR	0.011133068
PAN.west	RES	0.016645943
PAN.west	BEL	0.000471425
PAN.west	PAN.all	0.001236071
PAN.all	SLE	0.0731839
PAN.all	JAM	0.032936107
PAN.all	CBS	0.009911285
PAN.all	LGR	0.009690069
PAN.all	RES	0.014872376
PAN.all	BEL	0.001769263
PAN.all	PAN.west	0.001236071
