"ID","Marker","BioSample.Accession","Mitogenome.accession","Mitochondrial.clade","Sex.qPCR","Age","Region","Location","Year","Month","Day","Membership.rad","Membership.wgs","Q1.rad","Q2.rad","Q3.rad","Q4.rad","Q5.rad","Q1.wgs","Q2.wgs","Q3.wgs","Q4.wgs","Q5.wgs","Q6.wgs","O.Hom.rad","E.Hom.rad","F.rad","O.Hom.wgs","E.Hom.wgs","F.wgs"
"S_20_01762","ddRADseq","SAMN36656611",NA,NA,"F",33,"Saint Lawrence","Sainte_Flavie",2019,7,4,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,18667,16803.3,0.34988,NA,NA,NA
"S_20_01763","Both","SAMN36656612","OQ554158","Clade A","M",10,"Saint Lawrence","Cap_aux_Oies",2018,6,2,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.999946,0.00001,0.000014,0.00001,0.00001,20340,18493.2,0.30267,658560,622306.2,0.19703
"S_20_01764","Both","SAMN36656613","OQ554159","Clade A","F",47,"Saint Lawrence","Ile_Verte",2018,5,20,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,0.00001,0.00001,19725,17940.6,0.30532,659944,643818.1,0.08494
"S_20_01766","Both","SAMN36656615","OQ554161","Clade A","F",45,"Saint Lawrence","Saint_Ulric",2017,10,23,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.999948,0.00001,0.000012,0.00001,0.00001,20182,18557.7,0.265,662844,640066,0.12054
"S_20_01767","ddRADseq","SAMN36656616",NA,NA,"M",7,"Saint Lawrence","Saint_Ulric",2017,11,28,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,20187,18411.7,0.2927,NA,NA,NA
"S_20_01769","ddRADseq","SAMN36656617",NA,NA,"M",1,"Saint Lawrence","Tadoussac",2009,7,29,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,20332,18520.1,0.29635,NA,NA,NA
"S_20_01771","ddRADseq","SAMN36656618",NA,NA,"M",NA,"Saint Lawrence","Ile_Verte",2009,10,17,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,20167,18380,0.29533,NA,NA,NA
"S_20_01773","lcWGS","SAMN36656619","OQ554162","Clade C","F",0,"Saint Lawrence","Rimouski_est",2011,5,19,NA,"SLE",NA,NA,NA,NA,NA,0.324366,0.566197,0.00001,0.042734,0.066683,0.00001,NA,NA,NA,640876,626559.9,0.07726
"S_20_01774","ddRADseq","SAMN36656620",NA,NA,"F",48,"Saint Lawrence","Pointe_au_Pere",2009,9,15,"SLE",NA,0.921937,0.00001,0.00001,0.00001,0.078033,NA,NA,NA,NA,NA,NA,19823,18564.6,0.20524,NA,NA,NA
"S_20_01775","ddRADseq","SAMN36656621",NA,NA,"M",26,"Saint Lawrence","Riviere_Ouelle",2009,7,1,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,20170,18465.4,0.27988,NA,NA,NA
"S_20_01777","lcWGS","SAMN36656622","OQ554163","Clade C","F",36,"Saint Lawrence","Le_Bic",2018,7,22,NA,"SLE",NA,NA,NA,NA,NA,0.3259,0.587583,0.00001,0.032812,0.046985,0.00671,NA,NA,NA,646156,642939.3,0.01695
"S_20_01779","lcWGS","SAMN36656623","OQ554164","Clade A","F",40,"Saint Lawrence","Saint_Ulric",2009,10,24,NA,"SLE",NA,NA,NA,NA,NA,0.00001,0.999947,0.00001,0.000013,0.00001,0.00001,NA,NA,NA,668887,640061.7,0.15249
"S_20_01781","Both","SAMN36656624","OQ554165","Clade C","F",37,"Saint Lawrence","LAnse_au_Loup",2009,7,12,"HBSC","HBSC",0.040927,0.499693,0.31408,0.045802,0.099498,0.531078,0.01981,0.025341,0.169657,0.230267,0.023848,18351,18414.1,-0.0104,636319,639522.2,-0.01696
"S_20_01783_rep","ddRADseq","SAMN36656625",NA,NA,NA,21,"Saint Lawrence","Sainte_Flavie",2015,7,17,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,20136,18358.4,0.29438,NA,NA,NA
"S_20_01785","Both","SAMN36656627","OQ554168","Clade A","F",53,"Saint Lawrence","Ile_aux_Basques",2017,5,20,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.999949,0.00001,0.000011,0.00001,0.00001,20056,18394.2,0.27441,656174,622231.5,0.18424
"S_20_01787","ddRADseq","SAMN36656628",NA,NA,"F",18,"Saint Lawrence","Petit_Matane",2018,7,10,"SLE",NA,0.99996,0.00001,0.00001,0.00001,0.00001,NA,NA,NA,NA,NA,NA,18705,16865.8,0.34583,NA,NA,NA
"S_20_01788","Both","SAMN36656629","OQ554169","Clade A","M",NA,"Saint Lawrence","Grand_Metis",2017,8,1,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,0.00001,0.00001,20164,18560.8,0.26157,662972,640550.3,0.11859
"S_20_01794","ddRADseq","SAMN36656632",NA,NA,"M",0,"Saint Lawrence","Riviere_Ouelle",2018,7,30,"SLE",NA,0.999957,0.00001,0.000013,0.00001,0.00001,NA,NA,NA,NA,NA,NA,18809,16922.9,0.3528,NA,NA,NA
"S_20_01797","Both","SAMN36656633","OQ554170","Clade A","F",45,"Saint Lawrence","Baie_Sainte_Catherine",2018,7,29,"SLE","SLE",0.99996,0.00001,0.00001,0.00001,0.00001,0.00001,0.99995,0.00001,0.00001,0.00001,0.00001,20048,18434.4,0.26555,667984,643804.4,0.12726
