Fasta Header,SampleID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Region2,Harvest Region,SampleID,Mitochondrial clade
MW316189:Russia.AnadyrEstuary (bases 1 to 16386),,9.851467289,-0.384652494,-0.031078087,1.230494705,1.994939585,-0.356412342,-0.214604325,-0.461406748,-0.153116341,-0.079146628,MW316189:Russia.AnadyrEstuary (bases 1 to 16386),Russia: Anadyr Estuary,,Clade A
MW316195:Russia.AnadyrEstuary (bases 1 to 16383),,-0.863489996,1.183115405,-4.624195844,0.353658134,-0.484653019,0.100402977,-0.065618981,0.03706003,0.032921288,0.175549629,MW316195:Russia.AnadyrEstuary (bases 1 to 16383),Russia: Anadyr Estuary,,Clade B
MW316196:Russia.AnadyrEstuary (bases 1 to 16384),,-0.863488144,1.183119512,-4.624195458,0.35367638,-0.484662057,0.100402496,-0.065579508,0.037051363,0.032919652,0.17555335,MW316196:Russia.AnadyrEstuary (bases 1 to 16384),Russia: Anadyr Estuary,,Clade B
MW316190:Russia.AnadyrEstuary (bases 1 to 16386),,-0.948720655,1.19874304,-4.623084775,0.349454845,-0.48197043,0.099178023,-0.064797903,0.024495472,0.032975742,0.169799979,MW316190:Russia.AnadyrEstuary (bases 1 to 16386),Russia: Anadyr Estuary,,Clade B
MW316191:Russia.AnadyrEstuary (bases 1 to 16385),,-1.046689822,3.853232092,0.071831015,0.068922667,0.228181128,-0.365944817,0.223984858,0.30126003,0.393436606,0.148125675,MW316191:Russia.AnadyrEstuary (bases 1 to 16385),Russia: Anadyr Estuary,,Clade C
MW316198:Russia.AnadyrEstuary (bases 1 to 16386),,-1.179712302,3.853350341,0.268040653,0.054391626,0.04967463,0.017527643,-0.027228922,-0.038851034,0.539349301,-0.044232004,MW316198:Russia.AnadyrEstuary (bases 1 to 16386),Russia: Anadyr Estuary,,Clade C
MW316194:Russia.AnadyrEstuary (bases 1 to 16386),,-1.179833675,3.854913408,0.268850094,0.054678247,0.049951164,0.017688108,-0.027525901,-0.039362061,0.546970013,-0.045060806,MW316194:Russia.AnadyrEstuary (bases 1 to 16386),Russia: Anadyr Estuary,,Clade C
MW316192:Russia.AnadyrEstuary (bases 1 to 16384),,-1.180197958,3.859610862,0.271310514,0.05555809,0.050801152,0.018189199,-0.02846052,-0.040986497,0.571300563,-0.047762435,MW316192:Russia.AnadyrEstuary (bases 1 to 16384),Russia: Anadyr Estuary,,Clade C
MW316193:Russia.AnadyrEstuary (bases 1 to 16386),,-1.180197958,3.859610862,0.271310514,0.05555809,0.050801152,0.018189199,-0.02846052,-0.040986497,0.571300563,-0.047762435,MW316193:Russia.AnadyrEstuary (bases 1 to 16386),Russia: Anadyr Estuary,,Clade C
MW316197:Russia.AnadyrEstuary (bases 1 to 16386),,-1.180319381,3.861176468,0.272129829,0.055850857,0.051083957,0.018355722,-0.028770931,-0.041525612,0.579372728,-0.048657388,MW316197:Russia.AnadyrEstuary (bases 1 to 16386),Russia: Anadyr Estuary,,Clade C
141.SAN.2021.BELUGA.ADN_20_05902.S_20_01574.mito (bases 1 to 16386),S_20_01574,-2.116232809,-1.544026755,0.234288152,0.680435568,-0.291320646,-0.097409076,0.218661797,0.193874083,-0.038213432,-0.057368663,141.SAN.2021.BELUGA.ADN_20_05902.S_20_01574.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_01574,Clade D
147.SAN.2004.BELUGA.ADN_20_00990.S_20_00742.mito (bases 1 to 16386),S_20_00742,-2.050431995,-1.395864527,0.021501193,-0.618205211,0.348256989,0.013696487,-0.26911725,0.071269908,0.058588719,0.148243717,147.SAN.2004.BELUGA.ADN_20_00990.S_20_00742.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_00742,Clade D
176.SAN.2020.BELUGA.ADN_20_05488.S_20_04087.mito (bases 1 to 16386),S_20_04087,-2.039184622,-1.3843118,0.0344166,-0.439781867,0.203973838,0.005314722,-0.527678421,0.103836785,-0.002452547,-0.012028849,176.SAN.2020.BELUGA.ADN_20_05488.S_20_04087.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_04087,Clade D
113.SAN.2007.BELUGA.ADN_20_05112.S_20_03678.mito (bases 1 to 16386),S_20_03678,-2.040575138,-1.382212739,0.029987344,-0.437359921,0.22139518,0.00175612,-0.421136098,0.088068584,-0.003570552,0.01916036,113.SAN.2007.BELUGA.ADN_20_05112.S_20_03678.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03678,Clade D
117.SAN.2002.BELUGA.ADN_20_02288.S_20_00743.mito (bases 1 to 16386),S_20_00743,-2.040575138,-1.382212739,0.029987344,-0.437359921,0.22139518,0.00175612,-0.421136098,0.088068584,-0.003570552,0.01916036,117.SAN.2002.BELUGA.ADN_20_02288.S_20_00743.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_00743,Clade D
123.SAN.2019.BELUGA.ADN_20_05464.S_20_04063.mito (bases 1 to 16386),S_20_04063,-2.040575138,-1.382212739,0.029987344,-0.437359921,0.22139518,0.00175612,-0.421136098,0.088068584,-0.003570552,0.01916036,123.SAN.2019.BELUGA.ADN_20_05464.S_20_04063.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_04063,Clade D
129.SAN.1995.BELUGA.ADN_20_05214.S_20_03785.mito (bases 1 to 16386),S_20_03785,-2.040575138,-1.382212739,0.029987344,-0.437359921,0.22139518,0.00175612,-0.421136098,0.088068584,-0.003570552,0.01916036,129.SAN.1995.BELUGA.ADN_20_05214.S_20_03785.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_03785,Clade D
143.SAN.2002.BELUGA.ADN_20_02292.S_20_00727.mito (bases 1 to 16386),S_20_00727,-2.040575138,-1.382212739,0.029987344,-0.437359921,0.22139518,0.00175612,-0.421136098,0.088068584,-0.003570552,0.01916036,143.SAN.2002.BELUGA.ADN_20_02292.S_20_00727.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_00727,Clade D
184.SAN.2021.BELUGA.ADN_20_05033.S_20_01612.mito (bases 1 to 16386),S_20_01612,-2.040575138,-1.382212739,0.029987344,-0.437359921,0.22139518,0.00175612,-0.421136098,0.088068584,-0.003570552,0.01916036,184.SAN.2021.BELUGA.ADN_20_05033.S_20_01612.mito (bases 1 to 16386),Canada: Belcher Islands,S_20_01612,Clade D
